criteria_combo,count,benign_count,benign_percent_of_combo,vus_count,vus_percent_of_combo,pathogenic_count,pathogenic_percent_of_combo
BP1+PM2_Supporting,31088,31088,100.00,0,0.00,0,0.00
PM2_Supporting,5046,0,0.00,5046,100.00,0,0.00
BP1,2866,2866,100.00,0,0.00,0,0.00
PM2_Supporting+PM5_PTC+PVS1,2010,0,0.00,0,0.00,2010,100.00
BS3+PM2_Supporting,1708,1708,100.00,0,0.00,0,0.00
BP4+BP7+PM2_Supporting,1276,0,0.00,1276,100.00,0,0.00
PM2_Supporting+PP3,791,0,0.00,791,100.00,0,0.00
PM2_Supporting+PS3,407,0,0.00,407,100.00,0,0.00
none,331,0,0.00,331,100.00,0,0.00
BS3+BP1+PM2_Supporting,261,261,100.00,0,0.00,0,0.00
BP1+BP5,182,182,100.00,0,0.00,0,0.00
BS3,170,0,0.00,170,100.00,0,0.00
PM2_Supporting+PM5_PTC+PS3+PVS1,119,0,0.00,0,0.00,119,100.00
BS3+PM2_Supporting+PP3,119,119,100.00,0,0.00,0,0.00
BP4+BP7,119,119,100.00,0,0.00,0,0.00
BP1+BP5+PM2_Supporting,103,103,100.00,0,0.00,0,0.00
PM5_PTC+PVS1,100,0,0.00,0,0.00,100,100.00
BS3+BP1,93,93,100.00,0,0.00,0,0.00
BS1_Supporting+BP1,74,74,100.00,0,0.00,0,0.00
PM2_Supporting+PVS1,68,0,0.00,0,0.00,68,100.00
PM2_Supporting+PP3+PS3,61,0,0.00,0,0.00,61,100.00
BS3+BP1+BP5,61,61,100.00,0,0.00,0,0.00
PP3,51,0,0.00,51,100.00,0,0.00
BS1_Strong+BP1,50,50,100.00,0,0.00,0,0.00
BA1,48,48,100.00,0,0.00,0,0.00
PM2_Supporting+PP4+PS3,30,0,0.00,3,10.00,27,90.00
BS3+BP5,30,30,100.00,0,0.00,0,0.00
PS3,27,0,0.00,27,100.00,0,0.00
BS1_Strong+BP1+BP5,23,23,100.00,0,0.00,0,0.00
BP5,21,10,47.62,11,52.38,0,0.00
BS1_Supporting+BP1+BP5,17,17,100.00,0,0.00,0,0.00
PM2_Supporting+PS3+PVS1,15,0,0.00,0,0.00,15,100.00
BS3+BP5+PM2_Supporting,13,13,100.00,0,0.00,0,0.00
BP5+PM2_Supporting,13,3,23.08,10,76.92,0,0.00
BS1_Supporting+BS3,11,11,100.00,0,0.00,0,0.00
PM5_PTC+PS3+PVS1,11,0,0.00,0,0.00,11,100.00
BS3+BP1+BP5+PM2_Supporting,11,11,100.00,0,0.00,0,0.00
BS1_Strong+BS3+BP1+BP5,11,11,100.00,0,0.00,0,0.00
BS1_Supporting,8,0,0.00,8,100.00,0,0.00
BS1_Supporting+BS3+BP1+BP5,7,7,100.00,0,0.00,0,0.00
PM2_Supporting+PS1+PS3,6,0,0.00,4,66.67,2,33.33
BS1_Supporting+BS3+BP1,6,6,100.00,0,0.00,0,0.00
PM2_Supporting+PP4,6,0,0.00,2,33.33,4,66.67
BS1_Supporting+BP4+BP7,6,6,100.00,0,0.00,0,0.00
BS1_Strong+BS3,5,5,100.00,0,0.00,0,0.00
PP4+PS3,5,0,0.00,1,20.00,4,80.00
BS3+PP3,5,5,100.00,0,0.00,0,0.00
PM2_Supporting+PP3+PP4+PS3,5,0,0.00,0,0.00,5,100.00
BS1_Strong+BS3+BP5,5,5,100.00,0,0.00,0,0.00
PP3+PP4+PS3,4,0,0.00,0,0.00,4,100.00
PP3+PS3,4,0,0.00,4,100.00,0,0.00
PM2_Supporting+PP3+PP4,4,0,0.00,0,0.00,4,100.00
PP3+PP4,4,0,0.00,0,0.00,4,100.00
BS1_Supporting+BS3+BP5,4,4,100.00,0,0.00,0,0.00
BS1_Supporting+PP3,3,0,0.00,3,100.00,0,0.00
BS1_Strong,2,0,0.00,2,100.00,0,0.00
BP5+PM2_Supporting+PP3,2,0,0.00,2,100.00,0,0.00
BP5+PM2_Supporting+PP3+PS3,2,0,0.00,2,100.00,0,0.00
PS3+PVS1,2,0,0.00,0,0.00,2,100.00
BS1_Strong+BS3+BP1,2,2,100.00,0,0.00,0,0.00
BS3+BP5+PP3,2,2,100.00,0,0.00,0,0.00
BS1_Supporting+BP5,2,2,100.00,0,0.00,0,0.00
BS1_Strong+BP4+BP7,2,2,100.00,0,0.00,0,0.00
BS1_Strong+BP5,1,1,100.00,0,0.00,0,0.00
BS1_Supporting+PM5_PTC+PVS1,1,0,0.00,0,0.00,1,100.00
BS3+PM2_Supporting+PS1,1,0,0.00,1,100.00,0,0.00
BS1_Supporting+BS3+PP3,1,1,100.00,0,0.00,0,0.00
BP5+PP3,1,0,0.00,1,100.00,0,0.00
BP4+BP5+BP7,1,1,100.00,0,0.00,0,0.00
BP5+PS3,1,1,100.00,0,0.00,0,0.00
BS1_Supporting+BS3+BP5+PP3,1,1,100.00,0,0.00,0,0.00
BS3+PM2_Supporting+PVS1,1,0,0.00,1,100.00,0,0.00
