criterion_a,criterion_b,count,benign_count,benign_percent_of_pair,benign_percent_of_group,vus_count,vus_percent_of_pair,vus_percent_of_group,pathogenic_count,pathogenic_percent_of_pair,pathogenic_percent_of_group
BP1,PM2_Supporting,31463,31463,100.00,85.15,0,0.00,0.00,0,0.00,0.00
PM5_PTC,PVS1,2241,0,0.00,0.00,0,0.00,0.00,2241,100.00,91.81
PM2_Supporting,PVS1,2213,0,0.00,0.00,1,0.05,0.01,2212,99.95,90.62
PM2_Supporting,PM5_PTC,2129,0,0.00,0.00,0,0.00,0.00,2129,100.00,87.22
BS3,PM2_Supporting,2114,2112,99.91,5.72,2,0.09,0.02,0,0.00,0.00
BP4,BP7,1404,128,9.12,0.35,1276,90.88,15.65,0,0.00,0.00
BP4,PM2_Supporting,1276,0,0.00,0.00,1276,100.00,15.65,0,0.00,0.00
BP7,PM2_Supporting,1276,0,0.00,0.00,1276,100.00,15.65,0,0.00,0.00
PM2_Supporting,PP3,984,119,12.09,0.32,795,80.79,9.75,70,7.11,2.87
PM2_Supporting,PS3,645,0,0.00,0.00,416,64.50,5.10,229,35.50,9.38
BS3,BP1,452,452,100.00,1.22,0,0.00,0.00,0,0.00,0.00
BP1,BP5,415,415,100.00,1.12,0,0.00,0.00,0,0.00,0.00
PS3,PVS1,147,0,0.00,0.00,0,0.00,0.00,147,100.00,6.02
BS3,BP5,145,145,100.00,0.39,0,0.00,0.00,0,0.00,0.00
BP5,PM2_Supporting,144,130,90.28,0.35,14,9.72,0.17,0,0.00,0.00
PM5_PTC,PS3,130,0,0.00,0.00,0,0.00,0.00,130,100.00,5.33
BS3,PP3,128,128,100.00,0.35,0,0.00,0.00,0,0.00,0.00
BS1_Supporting,BP1,104,104,100.00,0.28,0,0.00,0.00,0,0.00,0.00
BS1_Strong,BP1,86,86,100.00,0.23,0,0.00,0.00,0,0.00,0.00
PP3,PS3,76,0,0.00,0.00,6,7.89,0.07,70,92.11,2.87
PM2_Supporting,PP4,45,0,0.00,0.00,5,11.11,0.06,40,88.89,1.64
PP4,PS3,44,0,0.00,0.00,4,9.09,0.05,40,90.91,1.64
BS1_Strong,BP5,40,40,100.00,0.11,0,0.00,0.00,0,0.00,0.00
BS1_Supporting,BP5,31,31,100.00,0.08,0,0.00,0.00,0,0.00,0.00
BS1_Supporting,BS3,30,30,100.00,0.08,0,0.00,0.00,0,0.00,0.00
BS1_Strong,BS3,23,23,100.00,0.06,0,0.00,0.00,0,0.00,0.00
PP3,PP4,17,0,0.00,0.00,0,0.00,0.00,17,100.00,0.70
BP5,PP3,8,3,37.50,0.01,5,62.50,0.06,0,0.00,0.00
PM2_Supporting,PS1,7,0,0.00,0.00,5,71.43,0.06,2,28.57,0.08
PS1,PS3,6,0,0.00,0.00,4,66.67,0.05,2,33.33,0.08
BS1_Supporting,BP4,6,6,100.00,0.02,0,0.00,0.00,0,0.00,0.00
BS1_Supporting,BP7,6,6,100.00,0.02,0,0.00,0.00,0,0.00,0.00
BS1_Supporting,PP3,5,2,40.00,0.01,3,60.00,0.04,0,0.00,0.00
BP5,PS3,3,1,33.33,0.00,2,66.67,0.02,0,0.00,0.00
BS1_Strong,BP4,2,2,100.00,0.01,0,0.00,0.00,0,0.00,0.00
BS1_Strong,BP7,2,2,100.00,0.01,0,0.00,0.00,0,0.00,0.00
BS1_Supporting,PM5_PTC,1,0,0.00,0.00,0,0.00,0.00,1,100.00,0.04
BS1_Supporting,PVS1,1,0,0.00,0.00,0,0.00,0.00,1,100.00,0.04
BS3,PS1,1,0,0.00,0.00,1,100.00,0.01,0,0.00,0.00
BP4,BP5,1,1,100.00,0.00,0,0.00,0.00,0,0.00,0.00
BP5,BP7,1,1,100.00,0.00,0,0.00,0.00,0,0.00,0.00
BS3,PVS1,1,0,0.00,0.00,1,100.00,0.01,0,0.00,0.00
