gene,category,count,denominator,denominator_label,percent_within_gene,per_1000
BRCA1,near threshold,468,1625,VUS in gene,28.80,288.00
BRCA2,near threshold,169,6529,VUS in gene,2.59,25.88
BRCA1,splice/RNA,860,1625,VUS in gene,52.92,529.23
BRCA2,splice/RNA,2431,6529,VUS in gene,37.23,372.34
BRCA1,functional,684,1625,VUS in gene,42.09,420.92
BRCA2,functional,152,6529,VUS in gene,2.33,23.28
BRCA1,evidence conflict,11,1625,VUS in gene,0.68,6.77
BRCA2,evidence conflict,19,6529,VUS in gene,0.29,2.91
BRCA1,public assertion,61,1625,VUS in gene,3.75,37.54
BRCA2,public assertion,11,6529,VUS in gene,0.17,1.68
BRCA1,neighborhood context,1622,1625,VUS in gene,99.82,998.15
BRCA2,neighborhood context,5027,6529,VUS in gene,76.99,769.95
BRCA1,low information,777,1625,VUS in gene,47.82,478.15
BRCA2,low information,4602,6529,VUS in gene,70.49,704.86
