gene,category,count,denominator,denominator_label,percent_within_gene,per_1000
BRCA1,BA1,21,16776,all generated coding SNVs in gene,0.13,1.25
BRCA2,BA1,27,30771,all generated coding SNVs in gene,0.09,0.88
BRCA1,BP1,12467,16776,all generated coding SNVs in gene,74.31,743.14
BRCA2,BP1,22388,30771,all generated coding SNVs in gene,72.76,727.57
BRCA1,BP4,103,16776,all generated coding SNVs in gene,0.61,6.14
BRCA2,BP4,1301,30771,all generated coding SNVs in gene,4.23,42.28
BRCA1,BP5,243,16776,all generated coding SNVs in gene,1.45,14.48
BRCA2,BP5,271,30771,all generated coding SNVs in gene,0.88,8.81
BRCA1,BP7,103,16776,all generated coding SNVs in gene,0.61,6.14
BRCA2,BP7,1301,30771,all generated coding SNVs in gene,4.23,42.28
BRCA1,BS1_Strong,40,16776,all generated coding SNVs in gene,0.24,2.38
BRCA2,BS1_Strong,61,30771,all generated coding SNVs in gene,0.20,1.98
BRCA1,BS1_Supporting,40,16776,all generated coding SNVs in gene,0.24,2.38
BRCA2,BS1_Supporting,101,30771,all generated coding SNVs in gene,0.33,3.28
BRCA1,BS3,2254,16776,all generated coding SNVs in gene,13.44,134.36
BRCA2,BS3,274,30771,all generated coding SNVs in gene,0.89,8.90
BRCA1,PM2_Supporting,15462,16776,all generated coding SNVs in gene,92.17,921.67
BRCA2,PM2_Supporting,27704,30771,all generated coding SNVs in gene,90.03,900.33
BRCA1,PM5_PTC,766,16776,all generated coding SNVs in gene,4.57,45.66
BRCA2,PM5_PTC,1475,30771,all generated coding SNVs in gene,4.79,47.93
BRCA1,PP3,482,16776,all generated coding SNVs in gene,2.87,28.73
BRCA2,PP3,578,30771,all generated coding SNVs in gene,1.88,18.78
BRCA1,PP4,40,16776,all generated coding SNVs in gene,0.24,2.38
BRCA2,PP4,18,30771,all generated coding SNVs in gene,0.06,0.58
BRCA1,PS1,6,16776,all generated coding SNVs in gene,0.04,0.36
BRCA2,PS1,1,30771,all generated coding SNVs in gene,0.00,0.03
BRCA1,PS3,568,16776,all generated coding SNVs in gene,3.39,33.86
BRCA2,PS3,131,30771,all generated coding SNVs in gene,0.43,4.26
BRCA1,PVS1,782,16776,all generated coding SNVs in gene,4.66,46.61
BRCA2,PVS1,1545,30771,all generated coding SNVs in gene,5.02,50.21
