gene,bin,cds_start,cds_end,pathogenic_fraction,splice_driver_fraction,pp3_count,high_spliceai_count,near_boundary_count,total_count
BRCA1,3,201,300,0.0933,0.3100,84,93,96,300
BRCA2,92,9101,9200,0.0633,0.2167,59,65,66,300
BRCA1,44,4301,4400,0.0600,0.1967,50,59,66,300
BRCA1,2,101,200,0.1000,0.1700,44,50,66,300
BRCA1,51,5001,5100,0.1233,0.1667,43,50,66,300
BRCA2,90,8901,9000,0.0867,0.1667,43,50,66,300
BRCA2,91,9001,9100,0.0767,0.1633,43,49,0,300
BRCA1,7,601,700,0.0100,0.1567,38,47,78,300
BRCA2,78,7701,7800,0.0733,0.1100,31,33,18,300
BRCA2,6,501,600,0.0433,0.1033,25,31,66,300
BRCA1,41,4001,4100,0.0700,0.1000,23,30,45,300
BRCA2,98,9701,9800,0.0600,0.0833,24,25,0,300
BRCA2,76,7501,7600,0.0300,0.0833,24,25,0,300
BRCA2,75,7401,7500,0.0567,0.0800,22,24,66,300
BRCA2,97,9601,9700,0.0567,0.0800,21,24,66,300
BRCA2,5,401,500,0.0367,0.0800,22,24,132,300
BRCA1,6,501,600,0.0333,0.0733,20,22,120,300
BRCA2,7,601,700,0.0233,0.0700,20,21,132,300
BRCA2,79,7801,7900,0.0600,0.0667,19,20,48,300
BRCA1,8,701,800,0.0433,0.0667,20,20,0,300
BRCA2,101,10001,10100,0.0000,0.0667,19,20,0,300
BRCA2,85,8401,8500,0.0633,0.0633,17,19,66,300
BRCA2,88,8701,8800,0.0600,0.0633,16,19,66,300
BRCA2,1,1,100,0.0500,0.0600,15,18,99,300
BRCA2,77,7601,7700,0.0467,0.0600,14,18,66,300
BRCA2,84,8301,8400,0.0400,0.0600,16,18,66,300
BRCA1,42,4101,4200,0.0433,0.0567,15,17,87,300
BRCA1,55,5401,5500,0.0367,0.0533,13,16,117,300
BRCA2,69,6801,6900,0.0733,0.0500,12,15,66,300
BRCA1,5,401,500,0.0367,0.0500,13,15,66,300
BRCA1,46,4501,4600,0.0600,0.0467,13,14,0,300
BRCA1,39,3801,3900,0.0500,0.0467,13,14,0,300
BRCA1,1,1,100,0.0733,0.0433,8,13,99,300
BRCA2,80,7901,8000,0.0700,0.0433,10,13,66,300
BRCA2,87,8601,8700,0.0667,0.0433,12,13,66,300
BRCA1,50,4901,5000,0.0600,0.0433,11,13,66,300
BRCA1,47,4601,4700,0.0633,0.0400,10,12,66,300
BRCA1,45,4401,4500,0.0400,0.0400,11,12,66,300
BRCA2,8,701,800,0.0333,0.0367,10,11,54,300
BRCA2,70,6901,7000,0.0533,0.0333,8,10,78,300
BRCA2,67,6601,6700,0.0500,0.0333,9,10,0,300
BRCA1,52,5101,5200,0.0867,0.0300,9,9,120,300
BRCA1,49,4801,4900,0.0367,0.0300,6,9,0,300
BRCA1,34,3301,3400,0.0633,0.0233,6,7,0,300
BRCA2,4,301,400,0.0400,0.0233,6,7,66,300
BRCA2,71,7001,7100,0.0433,0.0200,6,6,54,300
BRCA2,96,9501,9600,0.0367,0.0200,5,6,36,300
BRCA2,20,1901,2000,0.0533,0.0167,5,5,60,300
BRCA2,99,9801,9900,0.0367,0.0167,5,5,0,300
BRCA1,53,5201,5300,0.0700,0.0133,4,3,78,300
BRCA1,54,5301,5400,0.0667,0.0133,4,4,81,300
BRCA2,72,7101,7200,0.0600,0.0133,4,4,0,300
BRCA2,3,201,300,0.0567,0.0133,2,4,0,300
BRCA2,9,801,900,0.0567,0.0133,4,4,12,300
BRCA2,81,8001,8100,0.0467,0.0133,4,4,0,300
BRCA2,93,9201,9300,0.0633,0.0100,2,3,66,300
BRCA2,65,6401,6500,0.0600,0.0100,3,3,0,300
BRCA2,10,901,1000,0.0567,0.0100,3,3,0,300
BRCA2,18,1701,1800,0.0500,0.0100,3,3,0,300
BRCA1,4,301,400,0.0467,0.0100,2,3,36,300
BRCA1,40,3901,4000,0.0400,0.0100,3,3,0,300
BRCA1,35,3401,3500,0.0367,0.0100,3,3,0,300
BRCA1,36,3501,3600,0.0300,0.0100,3,3,0,300
BRCA1,37,3601,3700,0.0800,0.0067,2,2,0,300
BRCA2,89,8801,8900,0.0633,0.0067,2,2,0,300
BRCA1,9,801,900,0.0533,0.0067,1,2,0,300
BRCA2,73,7201,7300,0.0533,0.0067,2,2,0,300
BRCA1,28,2701,2800,0.0467,0.0067,2,2,0,300
BRCA1,43,4201,4300,0.0467,0.0067,2,2,0,300
BRCA1,23,2201,2300,0.0433,0.0067,2,2,0,300
BRCA2,15,1401,1500,0.0400,0.0067,2,2,0,300
BRCA2,68,6701,6800,0.0400,0.0067,2,2,0,300
BRCA2,95,9401,9500,0.0333,0.0067,2,2,30,300
BRCA2,86,8501,8600,0.0833,0.0033,1,1,0,300
BRCA2,13,1201,1300,0.0633,0.0033,1,1,0,300
BRCA2,21,2001,2100,0.0600,0.0033,0,1,0,300
BRCA1,22,2101,2200,0.0567,0.0033,1,1,0,300
BRCA1,30,2901,3000,0.0533,0.0033,1,1,0,300
BRCA2,19,1801,1900,0.0533,0.0033,1,1,6,300
BRCA1,24,2301,2400,0.0500,0.0033,1,1,0,300
BRCA2,12,1101,1200,0.0500,0.0033,0,1,0,300
BRCA2,82,8101,8200,0.0500,0.0033,1,1,0,300
BRCA1,29,2801,2900,0.0433,0.0033,1,1,0,300
BRCA2,83,8201,8300,0.0367,0.0033,1,1,0,300
BRCA1,48,4701,4800,0.0300,0.0033,0,1,0,300
BRCA2,53,5201,5300,0.0733,0.0000,0,0,0,300
BRCA2,63,6201,6300,0.0733,0.0000,0,0,0,300
BRCA2,26,2501,2600,0.0667,0.0000,0,0,0,300
BRCA2,42,4101,4200,0.0667,0.0000,0,0,0,300
BRCA2,51,5001,5100,0.0667,0.0000,0,0,0,300
BRCA2,64,6301,6400,0.0667,0.0000,0,0,0,300
BRCA2,32,3101,3200,0.0633,0.0000,0,0,0,300
BRCA2,50,4901,5000,0.0633,0.0000,0,0,0,300
BRCA1,56,5501,5592,0.0616,0.0000,0,0,33,276
BRCA1,11,1001,1100,0.0600,0.0000,0,0,0,300
BRCA2,11,1001,1100,0.0600,0.0000,0,0,0,300
BRCA2,22,2101,2200,0.0600,0.0000,0,0,0,300
BRCA2,25,2401,2500,0.0600,0.0000,0,0,0,300
BRCA2,34,3301,3400,0.0600,0.0000,0,0,0,300
BRCA2,48,4701,4800,0.0600,0.0000,0,0,0,300
BRCA2,57,5601,5700,0.0600,0.0000,0,0,0,300
BRCA1,14,1301,1400,0.0567,0.0000,0,0,0,300
BRCA1,33,3201,3300,0.0567,0.0000,0,0,0,300
BRCA2,14,1301,1400,0.0567,0.0000,0,0,0,300
BRCA2,17,1601,1700,0.0567,0.0000,0,0,0,300
BRCA2,23,2201,2300,0.0567,0.0000,0,0,0,300
BRCA2,24,2301,2400,0.0567,0.0000,0,0,0,300
BRCA2,30,2901,3000,0.0567,0.0000,0,0,0,300
BRCA2,52,5101,5200,0.0567,0.0000,0,0,0,300
BRCA2,59,5801,5900,0.0567,0.0000,0,0,0,300
BRCA2,60,5901,6000,0.0567,0.0000,0,0,0,300
BRCA2,66,6501,6600,0.0567,0.0000,0,0,0,300
BRCA1,10,901,1000,0.0533,0.0000,0,0,0,300
BRCA1,13,1201,1300,0.0533,0.0000,0,0,0,300
BRCA1,16,1501,1600,0.0533,0.0000,0,0,0,300
BRCA1,20,1901,2000,0.0533,0.0000,0,0,0,300
BRCA1,26,2501,2600,0.0533,0.0000,0,0,0,300
BRCA1,38,3701,3800,0.0533,0.0000,0,0,0,300
BRCA2,29,2801,2900,0.0533,0.0000,0,0,0,300
BRCA2,94,9301,9400,0.0533,0.0000,0,0,0,300
BRCA1,25,2401,2500,0.0500,0.0000,0,0,0,300
BRCA1,27,2601,2700,0.0500,0.0000,0,0,0,300
BRCA2,2,101,200,0.0500,0.0000,0,0,0,300
BRCA2,16,1501,1600,0.0500,0.0000,0,0,0,300
BRCA2,28,2701,2800,0.0500,0.0000,0,0,0,300
BRCA2,35,3401,3500,0.0500,0.0000,0,0,0,300
BRCA2,44,4301,4400,0.0500,0.0000,0,0,0,300
BRCA2,49,4801,4900,0.0500,0.0000,0,0,0,300
BRCA2,62,6101,6200,0.0500,0.0000,0,0,0,300
BRCA1,12,1101,1200,0.0467,0.0000,0,0,0,300
BRCA1,31,3001,3100,0.0467,0.0000,0,0,0,300
BRCA2,31,3001,3100,0.0467,0.0000,0,0,0,300
BRCA2,39,3801,3900,0.0467,0.0000,0,0,0,300
BRCA2,43,4201,4300,0.0467,0.0000,0,0,0,300
BRCA2,47,4601,4700,0.0467,0.0000,0,0,0,300
BRCA2,61,6001,6100,0.0467,0.0000,0,0,0,300
BRCA1,18,1701,1800,0.0433,0.0000,0,0,0,300
BRCA2,38,3701,3800,0.0433,0.0000,0,0,0,300
BRCA2,40,3901,4000,0.0433,0.0000,0,0,0,300
BRCA2,41,4001,4100,0.0433,0.0000,0,0,0,300
BRCA2,46,4501,4600,0.0433,0.0000,0,0,0,300
BRCA2,58,5701,5800,0.0433,0.0000,0,0,0,300
BRCA1,21,2001,2100,0.0400,0.0000,0,0,0,300
