gene,site_type,group,group_label,distance_bin,total_variants,spliceai_ge_0_20,percent
BRCA1,acceptor_like,benign,Benign/Likely Benign,0,26,2,7.69
BRCA1,acceptor_like,benign,Benign/Likely Benign,1-2,73,4,5.48
BRCA1,acceptor_like,benign,Benign/Likely Benign,3-5,129,4,3.10
BRCA1,acceptor_like,benign,Benign/Likely Benign,6-10,224,1,0.45
BRCA1,acceptor_like,benign,Benign/Likely Benign,11-20,424,9,2.12
BRCA1,acceptor_like,benign,Benign/Likely Benign,21-50,881,26,2.95
BRCA1,acceptor_like,benign,Benign/Likely Benign,51-100,605,0,0.00
BRCA1,acceptor_like,benign,Benign/Likely Benign,>100,4761,0,0.00
BRCA1,acceptor_like,vus,VUS,0,29,14,48.28
BRCA1,acceptor_like,vus,VUS,1-2,41,22,53.66
BRCA1,acceptor_like,vus,VUS,3-5,54,14,25.93
BRCA1,acceptor_like,vus,VUS,6-10,79,18,22.78
BRCA1,acceptor_like,vus,VUS,11-20,164,36,21.95
BRCA1,acceptor_like,vus,VUS,21-50,339,26,7.67
BRCA1,acceptor_like,vus,VUS,51-100,152,4,2.63
BRCA1,acceptor_like,vus,VUS,>100,72,23,31.94
BRCA1,acceptor_like,pathogenic,Likely Pathogenic/Pathogenic,0,8,5,62.50
BRCA1,acceptor_like,pathogenic,Likely Pathogenic/Pathogenic,1-2,12,5,41.67
BRCA1,acceptor_like,pathogenic,Likely Pathogenic/Pathogenic,3-5,6,4,66.67
BRCA1,acceptor_like,pathogenic,Likely Pathogenic/Pathogenic,6-10,12,4,33.33
BRCA1,acceptor_like,pathogenic,Likely Pathogenic/Pathogenic,11-20,42,9,21.43
BRCA1,acceptor_like,pathogenic,Likely Pathogenic/Pathogenic,21-50,61,15,24.59
BRCA1,acceptor_like,pathogenic,Likely Pathogenic/Pathogenic,51-100,35,2,5.71
BRCA1,acceptor_like,pathogenic,Likely Pathogenic/Pathogenic,>100,240,3,1.25
BRCA1,donor_like,benign,Benign/Likely Benign,0,17,3,17.65
BRCA1,donor_like,benign,Benign/Likely Benign,1-2,69,4,5.80
BRCA1,donor_like,benign,Benign/Likely Benign,3-5,129,0,0.00
BRCA1,donor_like,benign,Benign/Likely Benign,6-10,231,13,5.63
BRCA1,donor_like,benign,Benign/Likely Benign,11-20,439,25,5.69
BRCA1,donor_like,benign,Benign/Likely Benign,21-50,971,28,2.88
BRCA1,donor_like,benign,Benign/Likely Benign,51-100,645,4,0.62
BRCA1,donor_like,benign,Benign/Likely Benign,>100,4650,0,0.00
