gene,site_type,group,relative_boundary_position,total_variants,spliceai_ge_0_20,percent
BRCA1,acceptor_like,benign,-20,0,0,0.00
BRCA1,acceptor_like,benign,-19,0,0,0.00
BRCA1,acceptor_like,benign,-18,0,0,0.00
BRCA1,acceptor_like,benign,-17,0,0,0.00
BRCA1,acceptor_like,benign,-16,0,0,0.00
BRCA1,acceptor_like,benign,-15,0,0,0.00
BRCA1,acceptor_like,benign,-14,0,0,0.00
BRCA1,acceptor_like,benign,-13,0,0,0.00
BRCA1,acceptor_like,benign,-12,0,0,0.00
BRCA1,acceptor_like,benign,-11,0,0,0.00
BRCA1,acceptor_like,benign,-10,0,0,0.00
BRCA1,acceptor_like,benign,-9,0,0,0.00
BRCA1,acceptor_like,benign,-8,0,0,0.00
BRCA1,acceptor_like,benign,-7,0,0,0.00
BRCA1,acceptor_like,benign,-6,0,0,0.00
BRCA1,acceptor_like,benign,-5,0,0,0.00
BRCA1,acceptor_like,benign,-4,0,0,0.00
BRCA1,acceptor_like,benign,-3,0,0,0.00
BRCA1,acceptor_like,benign,-2,0,0,0.00
BRCA1,acceptor_like,benign,-1,0,0,0.00
BRCA1,acceptor_like,benign,0,26,2,7.69
BRCA1,acceptor_like,benign,1,34,0,0.00
BRCA1,acceptor_like,benign,2,39,4,10.26
BRCA1,acceptor_like,benign,3,44,2,4.55
BRCA1,acceptor_like,benign,4,43,2,4.65
BRCA1,acceptor_like,benign,5,42,0,0.00
BRCA1,acceptor_like,benign,6,43,0,0.00
BRCA1,acceptor_like,benign,7,45,0,0.00
BRCA1,acceptor_like,benign,8,42,0,0.00
BRCA1,acceptor_like,benign,9,48,0,0.00
BRCA1,acceptor_like,benign,10,46,1,2.17
BRCA1,acceptor_like,benign,11,43,0,0.00
BRCA1,acceptor_like,benign,12,43,3,6.98
BRCA1,acceptor_like,benign,13,38,2,5.26
BRCA1,acceptor_like,benign,14,48,0,0.00
BRCA1,acceptor_like,benign,15,42,0,0.00
BRCA1,acceptor_like,benign,16,46,0,0.00
BRCA1,acceptor_like,benign,17,38,3,7.89
BRCA1,acceptor_like,benign,18,46,1,2.17
BRCA1,acceptor_like,benign,19,39,0,0.00
BRCA1,acceptor_like,benign,20,41,0,0.00
BRCA1,acceptor_like,vus,-20,0,0,0.00
BRCA1,acceptor_like,vus,-19,0,0,0.00
BRCA1,acceptor_like,vus,-18,0,0,0.00
BRCA1,acceptor_like,vus,-17,0,0,0.00
BRCA1,acceptor_like,vus,-16,0,0,0.00
BRCA1,acceptor_like,vus,-15,0,0,0.00
BRCA1,acceptor_like,vus,-14,0,0,0.00
BRCA1,acceptor_like,vus,-13,0,0,0.00
BRCA1,acceptor_like,vus,-12,0,0,0.00
BRCA1,acceptor_like,vus,-11,0,0,0.00
BRCA1,acceptor_like,vus,-10,0,0,0.00
BRCA1,acceptor_like,vus,-9,0,0,0.00
BRCA1,acceptor_like,vus,-8,0,0,0.00
BRCA1,acceptor_like,vus,-7,0,0,0.00
BRCA1,acceptor_like,vus,-6,0,0,0.00
BRCA1,acceptor_like,vus,-5,0,0,0.00
BRCA1,acceptor_like,vus,-4,0,0,0.00
BRCA1,acceptor_like,vus,-3,0,0,0.00
BRCA1,acceptor_like,vus,-2,0,0,0.00
BRCA1,acceptor_like,vus,-1,0,0,0.00
BRCA1,acceptor_like,vus,0,29,14,48.28
BRCA1,acceptor_like,vus,1,22,11,50.00
BRCA1,acceptor_like,vus,2,19,11,57.89
BRCA1,acceptor_like,vus,3,17,6,35.29
BRCA1,acceptor_like,vus,4,19,3,15.79
BRCA1,acceptor_like,vus,5,18,5,27.78
BRCA1,acceptor_like,vus,6,17,3,17.65
BRCA1,acceptor_like,vus,7,16,3,18.75
BRCA1,acceptor_like,vus,8,16,5,31.25
BRCA1,acceptor_like,vus,9,14,2,14.29
BRCA1,acceptor_like,vus,10,16,5,31.25
BRCA1,acceptor_like,vus,11,18,5,27.78
BRCA1,acceptor_like,vus,12,16,2,12.50
BRCA1,acceptor_like,vus,13,15,5,33.33
BRCA1,acceptor_like,vus,14,13,5,38.46
BRCA1,acceptor_like,vus,15,18,5,27.78
BRCA1,acceptor_like,vus,16,14,3,21.43
BRCA1,acceptor_like,vus,17,18,5,27.78
BRCA1,acceptor_like,vus,18,14,2,14.29
BRCA1,acceptor_like,vus,19,20,2,10.00
BRCA1,acceptor_like,vus,20,18,2,11.11
BRCA1,acceptor_like,pathogenic,-20,0,0,0.00
BRCA1,acceptor_like,pathogenic,-19,0,0,0.00
BRCA1,acceptor_like,pathogenic,-18,0,0,0.00
BRCA1,acceptor_like,pathogenic,-17,0,0,0.00
BRCA1,acceptor_like,pathogenic,-16,0,0,0.00
BRCA1,acceptor_like,pathogenic,-15,0,0,0.00
BRCA1,acceptor_like,pathogenic,-14,0,0,0.00
BRCA1,acceptor_like,pathogenic,-13,0,0,0.00
BRCA1,acceptor_like,pathogenic,-12,0,0,0.00
BRCA1,acceptor_like,pathogenic,-11,0,0,0.00
BRCA1,acceptor_like,pathogenic,-10,0,0,0.00
BRCA1,acceptor_like,pathogenic,-9,0,0,0.00
BRCA1,acceptor_like,pathogenic,-8,0,0,0.00
BRCA1,acceptor_like,pathogenic,-7,0,0,0.00
BRCA1,acceptor_like,pathogenic,-6,0,0,0.00
BRCA1,acceptor_like,pathogenic,-5,0,0,0.00
BRCA1,acceptor_like,pathogenic,-4,0,0,0.00
BRCA1,acceptor_like,pathogenic,-3,0,0,0.00
BRCA1,acceptor_like,pathogenic,-2,0,0,0.00
BRCA1,acceptor_like,pathogenic,-1,0,0,0.00
BRCA1,acceptor_like,pathogenic,0,8,5,62.50
BRCA1,acceptor_like,pathogenic,1,7,5,71.43
BRCA1,acceptor_like,pathogenic,2,5,0,0.00
BRCA1,acceptor_like,pathogenic,3,2,2,100.00
BRCA1,acceptor_like,pathogenic,4,1,0,0.00
BRCA1,acceptor_like,pathogenic,5,3,2,66.67
BRCA1,acceptor_like,pathogenic,6,3,2,66.67
BRCA1,acceptor_like,pathogenic,7,2,1,50.00
BRCA1,acceptor_like,pathogenic,8,5,0,0.00
