gene,cds_exon,site_type,near_10bp_total,spliceai_ge_0_20,percent,benign_total,benign_high_spliceai,benign_percent,vus_total,vus_high_spliceai,vus_percent,pathogenic_total,pathogenic_high_spliceai,pathogenic_percent
BRCA1,1,donor_like,33,3,9.09,10,0,0.00,19,0,0.00,4,3,75.00
BRCA1,2,acceptor_like,33,2,6.06,24,2,8.33,6,0,0.00,3,0,0.00
BRCA1,2,donor_like,33,1,3.03,15,0,0.00,13,0,0.00,5,1,20.00
BRCA1,3,acceptor_like,33,2,6.06,21,1,4.76,10,1,10.00,2,0,0.00
BRCA1,3,donor_like,33,10,30.30,23,3,13.04,2,0,0.00,8,7,87.50
BRCA1,4,acceptor_like,33,7,21.21,22,2,9.09,8,2,25.00,3,3,100.00
BRCA1,4,donor_like,33,23,69.70,17,12,70.59,13,8,61.54,3,3,100.00
BRCA1,5,acceptor_like,33,1,3.03,28,0,0.00,3,0,0.00,2,1,50.00
BRCA1,5,donor_like,33,0,0.00,31,0,0.00,1,0,0.00,1,0,0.00
BRCA1,6,acceptor_like,33,11,33.33,22,0,0.00,9,9,100.00,2,2,100.00
BRCA1,6,donor_like,33,4,12.12,25,0,0.00,3,3,100.00,5,1,20.00
BRCA1,7,acceptor_like,33,2,6.06,30,0,0.00,3,2,66.67,0,0,0.00
BRCA1,7,donor_like,33,3,9.09,25,0,0.00,8,3,37.50,0,0,0.00
BRCA1,8,acceptor_like,33,8,24.24,16,0,0.00,17,8,47.06,0,0,0.00
BRCA1,8,donor_like,33,8,24.24,21,0,0.00,12,8,66.67,0,0,0.00
BRCA1,9,acceptor_like,33,1,3.03,30,0,0.00,1,1,100.00,2,0,0.00
BRCA1,9,donor_like,33,10,30.30,19,0,0.00,10,9,90.00,4,1,25.00
BRCA1,10,acceptor_like,33,2,6.06,29,0,0.00,3,2,66.67,1,0,0.00
BRCA1,10,donor_like,33,7,21.21,3,0,0.00,26,5,19.23,4,2,50.00
BRCA1,11,acceptor_like,33,8,24.24,0,0,0.00,32,8,25.00,1,0,0.00
BRCA1,11,donor_like,33,2,6.06,26,0,0.00,3,2,66.67,4,0,0.00
BRCA1,12,acceptor_like,33,30,90.91,0,0,0.00,31,28,90.32,2,2,100.00
BRCA1,12,donor_like,33,4,12.12,24,0,0.00,6,3,50.00,3,1,33.33
BRCA1,13,acceptor_like,33,2,6.06,27,0,0.00,4,2,50.00,2,0,0.00
BRCA1,13,donor_like,33,9,27.27,5,0,0.00,25,6,24.00,3,3,100.00
BRCA1,14,acceptor_like,33,1,3.03,31,0,0.00,1,1,100.00,1,0,0.00
BRCA1,14,donor_like,33,1,3.03,30,1,3.33,1,0,0.00,2,0,0.00
BRCA1,15,acceptor_like,33,5,15.15,19,0,0.00,11,2,18.18,3,3,100.00
BRCA1,15,donor_like,33,10,30.30,16,1,6.25,9,1,11.11,8,8,100.00
BRCA1,16,acceptor_like,33,8,24.24,18,0,0.00,8,1,12.50,7,7,100.00
BRCA1,16,donor_like,33,0,0.00,18,0,0.00,11,0,0.00,4,0,0.00
BRCA1,17,acceptor_like,33,0,0.00,15,0,0.00,15,0,0.00,3,0,0.00
BRCA1,17,donor_like,33,0,0.00,29,0,0.00,3,0,0.00,1,0,0.00
BRCA1,18,acceptor_like,33,2,6.06,22,2,9.09,10,0,0.00,1,0,0.00
BRCA1,18,donor_like,33,3,9.09,27,3,11.11,4,0,0.00,2,0,0.00
BRCA1,19,acceptor_like,33,0,0.00,18,0,0.00,15,0,0.00,0,0,0.00
BRCA1,19,donor_like,33,2,6.06,22,0,0.00,9,2,22.22,2,0,0.00
BRCA1,20,acceptor_like,33,2,6.06,22,1,4.55,9,1,11.11,2,0,0.00
BRCA1,20,donor_like,33,0,0.00,31,0,0.00,2,0,0.00,0,0,0.00
BRCA1,21,acceptor_like,33,0,0.00,31,0,0.00,2,0,0.00,0,0,0.00
BRCA1,21,donor_like,33,3,9.09,29,0,0.00,1,0,0.00,3,3,100.00
BRCA1,22,acceptor_like,33,3,9.09,27,3,11.11,5,0,0.00,1,0,0.00
BRCA2,1,donor_like,33,8,24.24,0,0,0.00,31,8,25.81,2,0,0.00
BRCA2,2,acceptor_like,33,1,3.03,2,0,0.00,28,1,3.57,3,0,0.00
BRCA2,2,donor_like,33,3,9.09,26,0,0.00,2,2,100.00,5,1,20.00
BRCA2,3,acceptor_like,33,2,6.06,21,0,0.00,12,2,16.67,0,0,0.00
BRCA2,3,donor_like,33,6,18.18,24,0,0.00,8,6,75.00,1,0,0.00
BRCA2,4,acceptor_like,33,1,3.03,30,0,0.00,3,1,33.33,0,0,0.00
BRCA2,4,donor_like,33,10,30.30,20,0,0.00,10,9,90.00,3,1,33.33
BRCA2,5,acceptor_like,33,4,12.12,27,0,0.00,5,4,80.00,1,0,0.00
BRCA2,5,donor_like,33,6,18.18,27,0,0.00,5,5,100.00,1,1,100.00
BRCA2,6,acceptor_like,33,7,21.21,21,0,0.00,11,6,54.55,1,1,100.00
BRCA2,6,donor_like,33,6,18.18,21,0,0.00,12,6,50.00,0,0,0.00
BRCA2,7,acceptor_like,33,11,33.33,15,0,0.00,16,10,62.50,2,1,50.00
BRCA2,7,donor_like,33,0,0.00,33,0,0.00,0,0,0.00,0,0,0.00
BRCA2,8,acceptor_like,33,1,3.03,31,0,0.00,1,1,100.00,1,0,0.00
BRCA2,8,donor_like,33,1,3.03,31,0,0.00,1,1,100.00,1,0,0.00
BRCA2,9,acceptor_like,33,0,0.00,31,0,0.00,0,0,0.00,2,0,0.00
BRCA2,9,donor_like,33,5,15.15,24,0,0.00,7,5,71.43,2,0,0.00
BRCA2,10,acceptor_like,33,0,0.00,29,0,0.00,1,0,0.00,3,0,0.00
BRCA2,10,donor_like,33,3,9.09,27,0,0.00,3,3,100.00,3,0,0.00
BRCA2,11,acceptor_like,33,3,9.09,19,1,5.26,11,2,18.18,3,0,0.00
BRCA2,11,donor_like,33,5,15.15,29,1,3.45,4,4,100.00,0,0,0.00
BRCA2,12,acceptor_like,33,1,3.03,31,0,0.00,1,1,100.00,1,0,0.00
BRCA2,12,donor_like,33,2,6.06,30,0,0.00,2,1,50.00,1,1,100.00
BRCA2,13,acceptor_like,33,2,6.06,29,0,0.00,2,2,100.00,2,0,0.00
BRCA2,13,donor_like,33,7,21.21,23,0,0.00,7,7,100.00,3,0,0.00
BRCA2,14,acceptor_like,33,0,0.00,11,0,0.00,20,0,0.00,2,0,0.00
BRCA2,14,donor_like,33,3,9.09,0,0,0.00,31,3,9.68,2,0,0.00
BRCA2,15,acceptor_like,33,1,3.03,3,0,0.00,28,1,3.57,2,0,0.00
BRCA2,15,donor_like,33,4,12.12,2,0,0.00,28,4,14.29,3,0,0.00
BRCA2,16,acceptor_like,33,0,0.00,3,0,0.00,29,0,0.00,1,0,0.00
BRCA2,16,donor_like,33,7,21.21,2,0,0.00,24,3,12.50,7,4,57.14
BRCA2,17,acceptor_like,33,2,6.06,2,0,0.00,28,1,3.57,3,1,33.33
BRCA2,17,donor_like,33,6,18.18,2,0,0.00,28,6,21.43,3,0,0.00
