scenario,original_combo,transition,count
pathogenic_supporting,PM2_Supporting,3 VUS -> 3 VUS,5046
benign_supporting,PM2_Supporting,3 VUS -> 3 VUS,5046
pathogenic_strong,PM2_Supporting,3 VUS -> 3 VUS,5046
benign_strong,PM2_Supporting,3 VUS -> 2 Likely Benign,5046
pathogenic_supporting,BP4+BP7+PM2_Supporting,3 VUS -> 3 VUS,1276
benign_supporting,BP4+BP7+PM2_Supporting,3 VUS -> 2 Likely Benign,1276
pathogenic_strong,BP4+BP7+PM2_Supporting,3 VUS -> 3 VUS,1276
benign_strong,BP4+BP7+PM2_Supporting,3 VUS -> 2 Likely Benign,1276
pathogenic_supporting,PM2_Supporting+PP3,3 VUS -> 3 VUS,791
benign_supporting,PM2_Supporting+PP3,3 VUS -> 3 VUS,791
pathogenic_strong,PM2_Supporting+PP3,3 VUS -> 4 Likely Pathogenic,791
benign_strong,PM2_Supporting+PP3,3 VUS -> 2 Likely Benign,791
pathogenic_supporting,PM2_Supporting+PS3,3 VUS -> 4 Likely Pathogenic,407
benign_supporting,PM2_Supporting+PS3,3 VUS -> 3 VUS,407
pathogenic_strong,PM2_Supporting+PS3,3 VUS -> 3 VUS,407
benign_strong,PM2_Supporting+PS3,3 VUS -> 3 VUS,407
pathogenic_supporting,none,3 VUS -> 3 VUS,331
benign_supporting,none,3 VUS -> 3 VUS,331
pathogenic_strong,none,3 VUS -> 3 VUS,331
benign_strong,none,3 VUS -> 3 VUS,331
pathogenic_supporting,BS3,3 VUS -> 2 Likely Benign,170
benign_supporting,BS3,3 VUS -> 2 Likely Benign,170
pathogenic_strong,BS3,3 VUS -> 3 VUS,170
benign_strong,BS3,3 VUS -> 1 Benign,170
pathogenic_supporting,PP3,3 VUS -> 3 VUS,51
benign_supporting,PP3,3 VUS -> 3 VUS,51
pathogenic_strong,PP3,3 VUS -> 3 VUS,51
benign_strong,PP3,3 VUS -> 2 Likely Benign,51
pathogenic_supporting,PS3,3 VUS -> 3 VUS,27
benign_supporting,PS3,3 VUS -> 3 VUS,27
pathogenic_strong,PS3,3 VUS -> 3 VUS,27
benign_strong,PS3,3 VUS -> 3 VUS,27
benign_supporting,BP5,3 VUS -> 2 Likely Benign,11
pathogenic_supporting,BP5+PM2_Supporting,3 VUS -> 3 VUS,10
pathogenic_strong,BP5+PM2_Supporting,3 VUS -> 3 VUS,10
benign_strong,BP5+PM2_Supporting,3 VUS -> 2 Likely Benign,10
benign_supporting,BP5+PM2_Supporting,3 VUS -> 2 Likely Benign,9
pathogenic_supporting,BP5,3 VUS -> 3 VUS,8
pathogenic_strong,BP5,3 VUS -> 3 VUS,8
benign_strong,BP5,3 VUS -> 2 Likely Benign,8
pathogenic_supporting,BS1_Supporting,3 VUS -> 3 VUS,8
benign_supporting,BS1_Supporting,3 VUS -> 2 Likely Benign,8
pathogenic_strong,BS1_Supporting,3 VUS -> 3 VUS,8
benign_strong,BS1_Supporting,3 VUS -> 2 Likely Benign,8
pathogenic_supporting,PM2_Supporting+PS1+PS3,3 VUS -> 5 Pathogenic,4
benign_supporting,PM2_Supporting+PS1+PS3,3 VUS -> 4 Likely Pathogenic,4
pathogenic_strong,PM2_Supporting+PS1+PS3,3 VUS -> 5 Pathogenic,4
benign_strong,PM2_Supporting+PS1+PS3,3 VUS -> 3 VUS,4
pathogenic_supporting,PP3+PS3,3 VUS -> 4 Likely Pathogenic,4
benign_supporting,PP3+PS3,3 VUS -> 3 VUS,4
pathogenic_strong,PP3+PS3,3 VUS -> 3 VUS,4
benign_strong,PP3+PS3,3 VUS -> 3 VUS,4
pathogenic_supporting,PM2_Supporting+PP4+PS3,3 VUS -> 5 Pathogenic,3
benign_supporting,PM2_Supporting+PP4+PS3,3 VUS -> 4 Likely Pathogenic,3
pathogenic_strong,PM2_Supporting+PP4+PS3,3 VUS -> 5 Pathogenic,3
benign_strong,PM2_Supporting+PP4+PS3,3 VUS -> 3 VUS,3
pathogenic_supporting,BP5,3 VUS -> 1 Benign,3
pathogenic_strong,BP5,3 VUS -> 2 Likely Benign,3
benign_strong,BP5,3 VUS -> 1 Benign,3
pathogenic_supporting,BS1_Supporting+PP3,3 VUS -> 3 VUS,3
benign_supporting,BS1_Supporting+PP3,3 VUS -> 3 VUS,3
pathogenic_strong,BS1_Supporting+PP3,3 VUS -> 3 VUS,3
benign_strong,BS1_Supporting+PP3,3 VUS -> 2 Likely Benign,3
pathogenic_supporting,BS1_Strong,3 VUS -> 2 Likely Benign,2
benign_supporting,BS1_Strong,3 VUS -> 2 Likely Benign,2
pathogenic_strong,BS1_Strong,3 VUS -> 3 VUS,2
benign_strong,BS1_Strong,3 VUS -> 1 Benign,2
pathogenic_supporting,BP5+PM2_Supporting+PP3,3 VUS -> 3 VUS,2
benign_supporting,BP5+PM2_Supporting+PP3,3 VUS -> 3 VUS,2
pathogenic_strong,BP5+PM2_Supporting+PP3,3 VUS -> 3 VUS,2
benign_strong,BP5+PM2_Supporting+PP3,3 VUS -> 2 Likely Benign,2
pathogenic_supporting,BP5+PM2_Supporting+PP3+PS3,3 VUS -> 3 VUS,2
benign_supporting,BP5+PM2_Supporting+PP3+PS3,3 VUS -> 3 VUS,2
pathogenic_strong,BP5+PM2_Supporting+PP3+PS3,3 VUS -> 4 Likely Pathogenic,2
pathogenic_supporting,PM2_Supporting+PP4,3 VUS -> 4 Likely Pathogenic,2
benign_supporting,PM2_Supporting+PP4,3 VUS -> 3 VUS,2
pathogenic_strong,PM2_Supporting+PP4,3 VUS -> 3 VUS,2
benign_strong,PM2_Supporting+PP4,3 VUS -> 3 VUS,2
benign_strong,BP5+PM2_Supporting+PP3+PS3,3 VUS -> 2 Likely Benign,1
pathogenic_supporting,PP4+PS3,3 VUS -> 3 VUS,1
benign_supporting,PP4+PS3,3 VUS -> 4 Likely Pathogenic,1
pathogenic_strong,PP4+PS3,3 VUS -> 5 Pathogenic,1
benign_strong,PP4+PS3,3 VUS -> 3 VUS,1
pathogenic_supporting,BS3+PM2_Supporting+PS1,3 VUS -> 3 VUS,1
benign_supporting,BS3+PM2_Supporting+PS1,3 VUS -> 3 VUS,1
pathogenic_strong,BS3+PM2_Supporting+PS1,3 VUS -> 3 VUS,1
benign_strong,BS3+PM2_Supporting+PS1,3 VUS -> 2 Likely Benign,1
benign_strong,BP5+PM2_Supporting+PP3+PS3,3 VUS -> 3 VUS,1
pathogenic_supporting,BP5+PP3,3 VUS -> 3 VUS,1
benign_supporting,BP5+PP3,3 VUS -> 2 Likely Benign,1
pathogenic_strong,BP5+PP3,3 VUS -> 3 VUS,1
benign_strong,BP5+PP3,3 VUS -> 2 Likely Benign,1
benign_supporting,BP5+PM2_Supporting,3 VUS -> 3 VUS,1
pathogenic_supporting,BS3+PM2_Supporting+PVS1,3 VUS -> 4 Likely Pathogenic,1
benign_supporting,BS3+PM2_Supporting+PVS1,3 VUS -> 3 VUS,1
pathogenic_strong,BS3+PM2_Supporting+PVS1,3 VUS -> 4 Likely Pathogenic,1
benign_strong,BS3+PM2_Supporting+PVS1,3 VUS -> 3 VUS,1
