scenario,transition,count
pathogenic_supporting,3 VUS -> 3 VUS,7558
pathogenic_supporting,3 VUS -> 4 Likely Pathogenic,414
pathogenic_supporting,3 VUS -> 2 Likely Benign,172
pathogenic_supporting,3 VUS -> 5 Pathogenic,7
pathogenic_supporting,3 VUS -> 1 Benign,3
pathogenic_strong,3 VUS -> 3 VUS,7349
pathogenic_strong,3 VUS -> 4 Likely Pathogenic,794
pathogenic_strong,3 VUS -> 5 Pathogenic,8
pathogenic_strong,3 VUS -> 2 Likely Benign,3
benign_supporting,3 VUS -> 3 VUS,6669
benign_supporting,3 VUS -> 2 Likely Benign,1477
benign_supporting,3 VUS -> 4 Likely Pathogenic,8
benign_strong,3 VUS -> 2 Likely Benign,7198
benign_strong,3 VUS -> 3 VUS,781
benign_strong,3 VUS -> 1 Benign,175
