gene,bin,cds_start,cds_end,cluster,benign_fraction,vus_fraction,pathogenic_fraction,spliceai_ge_0_20_fraction,mean_spliceai,near_boundary_fraction,pvs1_fraction,pp3_fraction,bs3_fraction,bp1_fraction
BRCA1,1,1,46,1,0.6879,0.2624,0.0496,0.0355,0.0494,0.2340,0.0355,0.0142,0.7447,0.0000
BRCA1,2,47,93,1,0.6028,0.2979,0.0993,0.0567,0.0590,0.4681,0.0709,0.0426,0.6525,0.0000
BRCA1,3,94,139,1,0.5290,0.3986,0.0725,0.0217,0.0346,0.3696,0.0362,0.0217,0.5362,0.0000
BRCA1,4,140,186,1,0.6809,0.2340,0.0851,0.1702,0.1293,0.1064,0.0638,0.1489,0.7376,0.0000
BRCA1,5,187,233,1,0.7319,0.1159,0.1522,0.3333,0.2385,0.4783,0.0580,0.2971,0.7246,0.0000
BRCA1,6,234,279,1,0.6596,0.2553,0.0851,0.2766,0.1660,0.0000,0.0496,0.2411,0.7021,0.0000
BRCA1,7,280,326,5,0.7092,0.2270,0.0638,0.2340,0.0892,0.4681,0.0496,0.2128,0.2340,0.4894
BRCA1,8,327,372,2,0.9493,0.0145,0.0362,0.0000,0.0022,0.0000,0.0362,0.0000,0.0145,0.9493
BRCA1,9,373,419,2,0.9291,0.0213,0.0496,0.0071,0.0084,0.0000,0.0496,0.0071,0.0213,0.9291
BRCA1,10,420,466,5,0.8623,0.0942,0.0435,0.0942,0.0789,0.4783,0.0435,0.0797,0.0362,0.8623
BRCA1,11,467,512,2,0.9574,0.0142,0.0284,0.0142,0.0177,0.0000,0.0284,0.0142,0.0496,0.9574
BRCA1,12,513,559,5,0.8865,0.0567,0.0567,0.0567,0.0380,0.4681,0.0567,0.0496,0.0071,0.8865
BRCA1,13,560,605,5,0.7246,0.2754,0.0000,0.1377,0.0905,0.4783,0.0000,0.1232,0.0362,0.7101
BRCA1,14,606,652,3,0.6170,0.3830,0.0000,0.1631,0.1308,0.0000,0.0000,0.1135,0.0000,0.6170
BRCA1,15,653,699,5,0.7971,0.1812,0.0217,0.1377,0.0899,0.4783,0.0217,0.1304,0.0145,0.7971
BRCA1,16,700,745,2,0.9787,0.0000,0.0213,0.0000,0.0121,0.0000,0.0213,0.0000,0.0213,0.9787
BRCA1,17,746,792,3,0.6667,0.2766,0.0567,0.1418,0.1082,0.0000,0.0567,0.1418,0.0071,0.6667
BRCA1,18,793,838,3,0.8116,0.1522,0.0362,0.0145,0.0563,0.0000,0.0362,0.0072,0.0290,0.8116
BRCA1,19,839,885,2,0.9149,0.0000,0.0851,0.0000,0.0003,0.0000,0.0851,0.0000,0.0000,0.9149
BRCA1,20,886,932,2,0.9493,0.0000,0.0507,0.0000,0.0000,0.0000,0.0507,0.0000,0.0000,0.9493
BRCA1,21,933,978,2,0.9362,0.0000,0.0638,0.0000,0.0008,0.0000,0.0638,0.0000,0.0142,0.9362
BRCA1,22,979,1025,2,0.9716,0.0000,0.0284,0.0000,0.0001,0.0000,0.0284,0.0000,0.0142,0.9645
BRCA1,23,1026,1071,2,0.9275,0.0000,0.0725,0.0000,0.0000,0.0000,0.0725,0.0000,0.0000,0.9203
BRCA1,24,1072,1118,2,0.9433,0.0000,0.0567,0.0000,0.0000,0.0000,0.0567,0.0000,0.0071,0.9433
BRCA1,25,1119,1165,2,0.9565,0.0000,0.0435,0.0000,0.0001,0.0000,0.0435,0.0000,0.0000,0.9565
BRCA1,26,1166,1211,2,0.9504,0.0000,0.0496,0.0000,0.0000,0.0000,0.0496,0.0000,0.0071,0.9504
BRCA1,27,1212,1258,2,0.9645,0.0000,0.0355,0.0000,0.0002,0.0000,0.0355,0.0000,0.0426,0.9645
BRCA1,28,1259,1304,2,0.9348,0.0000,0.0652,0.0000,0.0000,0.0000,0.0652,0.0000,0.0000,0.9348
BRCA1,29,1305,1351,2,0.9291,0.0000,0.0709,0.0000,0.0000,0.0000,0.0709,0.0000,0.0213,0.9291
