gene,bin,cds_start,cds_end,n_variants,signal,count,rate,expected,enrichment,poisson_tail
BRCA2,114,9659,9744,258,pm5_ptc,0,0.00,12.16,0.00,1
BRCA2,116,9830,9915,258,pm5_ptc,0,0.00,12.16,0.00,1
BRCA2,118,10001,10086,258,pm5_ptc,0,0.00,12.16,0.00,1
BRCA2,115,9745,9829,255,pm5_ptc,0,0.00,12.02,0.00,1
BRCA2,117,9916,10000,255,pm5_ptc,0,0.00,12.02,0.00,1
BRCA2,119,10087,10171,255,pm5_ptc,0,0.00,12.02,0.00,1
BRCA2,120,10172,10257,255,pm5_ptc,0,0.00,12.02,0.00,1
BRCA1,14,606,652,141,pm5_ptc,0,0.00,6.65,0.00,0.9987
BRCA1,119,5499,5545,141,pm5_ptc,0,0.00,6.65,0.00,0.9987
BRCA1,13,560,605,138,pm5_ptc,0,0.00,6.50,0.00,0.9985
BRCA1,118,5453,5498,138,pm5_ptc,0,0.00,6.50,0.00,0.9985
BRCA1,120,5546,5592,138,pm5_ptc,0,0.00,6.50,0.00,0.9985
