gene,cluster,start_bin,end_bin,cds_start,cds_end,n_bins
BRCA1,1,1,6,1,279,6
BRCA1,5,7,7,280,326,1
BRCA1,2,8,9,327,419,2
BRCA1,5,10,10,420,466,1
BRCA1,2,11,11,467,512,1
BRCA1,5,12,15,513,699,4
BRCA1,2,16,16,700,745,1
BRCA1,5,17,17,746,792,1
BRCA1,3,18,18,793,838,1
BRCA1,2,19,72,839,3355,54
BRCA1,3,73,73,3356,3401,1
BRCA1,2,74,83,3402,3867,10
BRCA1,5,84,84,3868,3914,1
BRCA1,2,85,86,3915,4007,2
BRCA1,3,87,87,4008,4054,1
BRCA1,5,88,88,4055,4100,1
BRCA1,2,89,89,4101,4147,1
BRCA1,5,90,90,4148,4194,1
BRCA1,4,91,92,4195,4287,2
BRCA1,2,93,93,4288,4333,1
BRCA1,5,94,94,4334,4380,1
BRCA1,3,95,95,4381,4427,1
BRCA1,2,96,96,4428,4473,1
BRCA1,5,97,97,4474,4520,1
BRCA1,2,98,100,4521,4660,3
BRCA1,5,101,101,4661,4706,1
BRCA1,2,102,105,4707,4893,4
BRCA1,3,106,106,4894,4939,1
BRCA1,1,107,119,4940,5545,13
BRCA1,5,120,120,5546,5592,1
BRCA2,1,1,1,1,85,1
BRCA2,5,2,2,86,170,1
BRCA2,2,3,3,171,256,1
BRCA2,3,4,6,257,512,3
BRCA2,5,7,7,513,598,1
BRCA2,3,8,8,599,683,1
BRCA2,2,9,9,684,769,1
BRCA2,3,10,10,770,854,1
BRCA2,2,11,22,855,1880,12
BRCA2,3,23,23,1881,1965,1
BRCA2,2,24,80,1966,6838,57
BRCA2,3,81,82,6839,7008,2
BRCA2,2,83,86,7009,7350,4
BRCA2,3,87,87,7351,7436,1
BRCA2,4,88,111,7437,9487,24
BRCA2,1,112,112,9488,9573,1
BRCA2,3,113,113,9574,9658,1
BRCA2,5,114,114,9659,9744,1
BRCA2,2,115,120,9745,10257,6
