gene,bin,cds_start,cds_end,n_variants,signal,count,rate,expected,enrichment,poisson_tail
BRCA2,89,7522,7607,258,bp1,0,0.00,189.13,0.00,1
BRCA2,91,7693,7778,258,bp1,0,0.00,189.13,0.00,1
BRCA2,93,7864,7949,258,bp1,0,0.00,189.13,0.00,1
BRCA2,95,8035,8120,258,bp1,0,0.00,189.13,0.00,1
BRCA2,97,8206,8291,258,bp1,0,0.00,189.13,0.00,1
BRCA2,99,8377,8462,258,bp1,0,0.00,189.13,0.00,1
BRCA2,102,8633,8718,258,bp1,0,0.00,189.13,0.00,1
BRCA2,104,8804,8889,258,bp1,0,0.00,189.13,0.00,1
BRCA2,106,8975,9060,258,bp1,0,0.00,189.13,0.00,1
BRCA2,108,9146,9231,258,bp1,0,0.00,189.13,0.00,1
BRCA2,110,9317,9402,258,bp1,0,0.00,189.13,0.00,1
BRCA2,90,7608,7692,255,bp1,0,0.00,186.93,0.00,1
BRCA2,92,7779,7863,255,bp1,0,0.00,186.93,0.00,1
BRCA2,94,7950,8034,255,bp1,0,0.00,186.93,0.00,1
BRCA2,96,8121,8205,255,bp1,0,0.00,186.93,0.00,1
BRCA2,98,8292,8376,255,bp1,0,0.00,186.93,0.00,1
BRCA2,100,8463,8547,255,bp1,0,0.00,186.93,0.00,1
BRCA2,101,8548,8632,255,bp1,0,0.00,186.93,0.00,1
BRCA2,103,8719,8803,255,bp1,0,0.00,186.93,0.00,1
BRCA2,105,8890,8974,255,bp1,0,0.00,186.93,0.00,1
BRCA2,107,9061,9145,255,bp1,0,0.00,186.93,0.00,1
BRCA2,109,9232,9316,255,bp1,0,0.00,186.93,0.00,1
BRCA2,111,9403,9487,255,bp1,0,0.00,186.93,0.00,1
BRCA1,1,1,46,141,bp1,0,0.00,103.36,0.00,1
BRCA1,2,47,93,141,bp1,0,0.00,103.36,0.00,1
BRCA1,4,140,186,141,bp1,0,0.00,103.36,0.00,1
BRCA1,6,234,279,141,bp1,0,0.00,103.36,0.00,1
BRCA1,91,4195,4240,141,bp1,0,0.00,103.36,0.00,1
BRCA1,109,5033,5079,141,bp1,0,0.00,103.36,0.00,1
BRCA1,111,5127,5172,141,bp1,0,0.00,103.36,0.00,1
BRCA1,112,5173,5219,141,bp1,0,0.00,103.36,0.00,1
BRCA1,114,5266,5312,141,bp1,0,0.00,103.36,0.00,1
BRCA1,116,5360,5405,141,bp1,0,0.00,103.36,0.00,1
BRCA1,117,5406,5452,141,bp1,0,0.00,103.36,0.00,1
BRCA1,119,5499,5545,141,bp1,0,0.00,103.36,0.00,1
BRCA1,3,94,139,138,bp1,0,0.00,101.16,0.00,1
BRCA1,5,187,233,138,bp1,0,0.00,101.16,0.00,1
BRCA1,108,4987,5032,138,bp1,0,0.00,101.16,0.00,1
BRCA1,110,5080,5126,138,bp1,0,0.00,101.16,0.00,1
BRCA1,113,5220,5265,138,bp1,0,0.00,101.16,0.00,1
BRCA1,115,5313,5359,138,bp1,0,0.00,101.16,0.00,1
BRCA1,118,5453,5498,138,bp1,0,0.00,101.16,0.00,1
