gene,bin,cds_start,cds_end,n_variants,signal,count,rate,expected,enrichment,poisson_tail
BRCA2,5,342,427,258,bs3,0,0.00,13.72,0.00,1
BRCA2,11,855,940,258,bs3,0,0.00,13.72,0.00,1
BRCA2,13,1026,1111,258,bs3,0,0.00,13.72,0.00,1
BRCA2,15,1197,1282,258,bs3,0,0.00,13.72,0.00,1
BRCA2,19,1539,1624,258,bs3,0,0.00,13.72,0.00,1
BRCA2,24,1966,2051,258,bs3,0,0.00,13.72,0.00,1
BRCA2,26,2137,2222,258,bs3,0,0.00,13.72,0.00,1
BRCA2,28,2308,2393,258,bs3,0,0.00,13.72,0.00,1
BRCA2,32,2650,2735,258,bs3,0,0.00,13.72,0.00,1
BRCA2,34,2821,2906,258,bs3,0,0.00,13.72,0.00,1
BRCA2,45,3761,3846,258,bs3,0,0.00,13.72,0.00,1
BRCA2,49,4103,4188,258,bs3,0,0.00,13.72,0.00,1
BRCA2,53,4445,4530,258,bs3,0,0.00,13.72,0.00,1
BRCA2,55,4616,4701,258,bs3,0,0.00,13.72,0.00,1
BRCA2,57,4787,4872,258,bs3,0,0.00,13.72,0.00,1
BRCA2,59,4958,5043,258,bs3,0,0.00,13.72,0.00,1
BRCA2,62,5214,5299,258,bs3,0,0.00,13.72,0.00,1
BRCA2,64,5385,5470,258,bs3,0,0.00,13.72,0.00,1
BRCA2,78,6582,6667,258,bs3,0,0.00,13.72,0.00,1
BRCA2,114,9659,9744,258,bs3,0,0.00,13.72,0.00,1
BRCA2,14,1112,1196,255,bs3,0,0.00,13.56,0.00,1
BRCA2,18,1454,1538,255,bs3,0,0.00,13.56,0.00,1
BRCA2,20,1625,1709,255,bs3,0,0.00,13.56,0.00,1
BRCA2,25,2052,2136,255,bs3,0,0.00,13.56,0.00,1
BRCA2,29,2394,2478,255,bs3,0,0.00,13.56,0.00,1
BRCA2,37,3078,3162,255,bs3,0,0.00,13.56,0.00,1
BRCA2,39,3249,3333,255,bs3,0,0.00,13.56,0.00,1
BRCA2,44,3676,3760,255,bs3,0,0.00,13.56,0.00,1
BRCA2,46,3847,3931,255,bs3,0,0.00,13.56,0.00,1
BRCA2,48,4018,4102,255,bs3,0,0.00,13.56,0.00,1
BRCA2,50,4189,4273,255,bs3,0,0.00,13.56,0.00,1
BRCA2,56,4702,4786,255,bs3,0,0.00,13.56,0.00,1
BRCA2,65,5471,5555,255,bs3,0,0.00,13.56,0.00,1
BRCA2,75,6326,6410,255,bs3,0,0.00,13.56,0.00,1
BRCA2,79,6668,6752,255,bs3,0,0.00,13.56,0.00,1
BRCA2,80,6753,6838,255,bs3,0,0.00,13.56,0.00,1
BRCA2,84,7095,7179,255,bs3,0,0.00,13.56,0.00,1
BRCA2,86,7266,7350,255,bs3,0,0.00,13.56,0.00,1
BRCA2,113,9574,9658,255,bs3,0,0.00,13.56,0.00,1
BRCA2,120,10172,10257,255,bs3,0,0.00,13.56,0.00,1
BRCA1,14,606,652,141,bs3,0,0.00,7.50,0.00,0.9994
BRCA1,19,839,885,141,bs3,0,0.00,7.50,0.00,0.9994
BRCA1,32,1445,1491,141,bs3,0,0.00,7.50,0.00,0.9994
BRCA1,36,1632,1677,141,bs3,0,0.00,7.50,0.00,0.9994
BRCA1,62,2843,2889,141,bs3,0,0.00,7.50,0.00,0.9994
BRCA1,72,3309,3355,141,bs3,0,0.00,7.50,0.00,0.9994
BRCA1,77,3542,3588,141,bs3,0,0.00,7.50,0.00,0.9994
BRCA1,20,886,932,138,bs3,0,0.00,7.34,0.00,0.9993
BRCA1,23,1026,1071,138,bs3,0,0.00,7.34,0.00,0.9993
BRCA1,25,1119,1165,138,bs3,0,0.00,7.34,0.00,0.9993
