bin,cds_start,cds_end,max_spliceai,spliceai_ge_0_20,class_1,class_2,class_3,class_4,class_5
1,1,46,0.460,5,3,94,37,0,7
2,47,93,0.770,8,0,85,42,3,11
3,94,139,0.920,3,2,71,55,1,9
4,140,186,0.730,24,1,95,33,2,10
5,187,233,0.870,46,1,100,16,11,10
6,234,279,0.720,39,0,93,36,5,7
7,280,326,0.750,33,2,98,32,2,7
8,327,372,0.130,0,3,128,2,0,5
9,373,419,0.850,1,4,127,3,0,7
10,420,466,0.920,13,6,113,13,0,6
11,467,512,0.510,2,7,128,2,0,4
12,513,559,0.700,8,4,121,8,1,7
13,560,605,0.750,19,5,95,38,0,0
14,606,652,0.950,23,0,87,54,0,0
15,653,699,0.830,19,2,108,25,0,3
16,700,745,0.100,0,5,133,0,0,3
17,746,792,0.980,20,2,92,39,0,8
18,793,838,0.210,2,7,105,21,0,5
19,839,885,0.020,0,0,129,0,0,12
20,886,932,0.000,0,3,128,0,0,7
21,933,978,0.070,0,3,129,0,0,9
22,979,1025,0.010,0,7,130,0,0,4
23,1026,1071,0.000,0,2,126,0,0,10
24,1072,1118,0.000,0,4,129,0,0,8
25,1119,1165,0.010,0,1,131,0,0,6
26,1166,1211,0.000,0,1,133,0,0,7
27,1212,1258,0.020,0,8,128,0,0,5
28,1259,1304,0.000,0,0,129,0,0,9
29,1305,1351,0.000,0,4,127,0,0,10
30,1352,1398,0.000,0,3,129,0,0,6
31,1399,1444,0.050,0,5,131,0,0,5
32,1445,1491,0.010,0,4,132,0,0,5
33,1492,1537,0.000,0,6,124,0,0,8
34,1538,1584,0.030,0,1,134,0,0,6
35,1585,1631,0.020,0,2,129,0,0,7
36,1632,1677,0.010,0,1,137,0,0,3
37,1678,1724,0.030,0,2,132,0,0,7
38,1725,1770,0.010,0,1,132,0,0,5
39,1771,1817,0.000,0,3,131,0,0,7
40,1818,1864,0.010,0,1,134,0,0,3
41,1865,1910,0.030,0,4,134,0,0,3
42,1911,1957,0.010,0,4,128,0,0,9
43,1958,2003,0.010,0,4,128,0,0,6
44,2004,2050,0.030,0,3,131,0,0,7
45,2051,2097,0.070,0,3,130,0,0,5
46,2098,2143,0.210,1,2,131,1,0,7
47,2144,2190,0.000,0,4,130,0,0,7
48,2191,2236,0.310,1,2,129,1,0,6
49,2237,2283,0.630,1,3,128,1,0,9
50,2284,2330,0.010,0,2,132,0,0,4
51,2331,2376,0.270,1,2,129,1,0,9
52,2377,2423,0.020,0,2,133,0,0,6
53,2424,2469,0.010,0,4,128,0,0,6
54,2470,2516,0.020,0,2,132,0,0,7
55,2517,2563,0.050,0,7,125,0,0,6
56,2564,2609,0.040,0,4,126,0,0,11
57,2610,2656,0.190,0,5,128,1,0,7
58,2657,2702,0.010,0,4,128,0,0,6
59,2703,2749,0.860,1,4,124,2,0,11
60,2750,2796,0.480,1,4,131,1,0,2
61,2797,2842,0.710,1,4,129,1,0,7
62,2843,2889,0.020,0,1,133,0,0,7
63,2890,2935,0.020,0,4,127,0,0,7
64,2936,2982,0.300,1,2,131,1,0,7
65,2983,3029,0.150,0,5,124,0,0,9
66,3030,3075,0.110,0,2,133,1,0,5
67,3076,3122,0.000,0,6,129,0,0,6
68,3123,3168,0.130,0,2,133,1,0,2
69,3169,3215,0.000,0,3,134,0,0,4
70,3216,3262,0.010,0,1,130,0,0,7
71,3263,3308,0.010,0,5,127,0,0,9
72,3309,3355,0.070,0,1,129,0,0,11
73,3356,3401,0.370,7,1,114,16,0,7
74,3402,3448,0.260,3,6,120,10,0,5
75,3449,3495,0.120,0,4,128,1,0,5
76,3496,3541,0.990,2,3,132,2,0,4
77,3542,3588,0.530,1,1,134,2,0,4
78,3589,3634,0.030,0,4,121,0,0,13
79,3635,3681,0.430,1,3,125,4,0,9
80,3682,3728,0.250,1,5,124,4,0,5
81,3729,3774,0.030,0,3,133,0,0,5
82,3775,3821,0.090,0,3,126,0,0,12
83,3822,3867,0.180,0,3,125,3,0,7
84,3868,3914,0.670,14,3,85,44,0,9
85,3915,3961,0.480,1,5,122,8,0,3
86,3962,4007,0.570,2,1,131,3,0,6
87,4008,4054,0.320,6,5,110,15,0,11
88,4055,4100,0.940,24,3,85,40,0,10
89,4101,4147,0.280,2,6,127,1,0,7
90,4148,4194,0.960,15,1,67,64,0,6
91,4195,4240,0.360,1,2,9,124,0,6
92,4241,4287,0.080,0,3,51,79,0,8
93,4288,4333,0.820,1,4,131,1,0,2
94,4334,4380,0.850,56,3,63,63,0,12
95,4381,4427,0.420,7,4,99,29,0,6
96,4428,4473,0.200,1,2,127,7,0,5
97,4474,4520,0.880,19,4,95,32,0,10
98,4521,4566,0.090,0,5,124,0,0,9
99,4567,4613,0.600,3,4,127,2,0,8
100,4614,4660,0.660,1,8,119,4,0,7
101,4661,4706,0.930,10,4,94,35,0,8
102,4707,4753,0.140,0,10,127,1,0,3
103,4754,4799,0.320,1,10,121,1,0,6
104,4800,4846,0.980,3,12,121,2,0,6
105,4847,4893,0.920,5,8,121,4,1,4
106,4894,4939,0.550,3,119,14,0,1,7
107,4940,4986,0.460,4,20,85,31,1,4
108,4987,5032,0.430,15,2,82,44,3,7
109,5033,5079,0.740,40,0,71,42,20,8
110,5080,5126,0.400,4,1,63,64,1,9
111,5127,5172,0.950,5,1,85,38,4,13
112,5173,5219,0.990,2,3,95,33,2,8
113,5220,5265,0.100,0,1,81,47,0,9
114,5266,5312,0.690,3,0,84,47,1,9
115,5313,5359,0.580,4,1,95,34,1,7
116,5360,5405,0.140,0,0,107,27,0,7
117,5406,5452,0.380,10,1,92,43,1,4
118,5453,5498,0.930,6,1,104,27,3,3
119,5499,5545,0.080,0,1,78,48,0,14
120,5546,5592,0.020,0,4,100,31,0,3
