gene,criterion,count,percent_within_gene,per_1000_gene_variants
BRCA1,BA1,21,0.13,1.25
BRCA1,BP1,12467,74.31,743.14
BRCA1,BP4,103,0.61,6.14
BRCA1,BP5,243,1.45,14.48
BRCA1,BP7,103,0.61,6.14
BRCA1,BS1_Strong,40,0.24,2.38
BRCA1,BS1_Supporting,40,0.24,2.38
BRCA1,BS3,2254,13.44,134.36
BRCA1,PM2_Supporting,15462,92.17,921.67
BRCA1,PM5_PTC,766,4.57,45.66
BRCA1,PP3,482,2.87,28.73
BRCA1,PP4,40,0.24,2.38
BRCA1,PS1,6,0.04,0.36
BRCA1,PS3,568,3.39,33.86
BRCA1,PVS1,782,4.66,46.61
BRCA2,BA1,27,0.09,0.88
BRCA2,BP1,22388,72.76,727.57
BRCA2,BP4,1301,4.23,42.28
BRCA2,BP5,271,0.88,8.81
BRCA2,BP7,1301,4.23,42.28
BRCA2,BS1_Strong,61,0.20,1.98
BRCA2,BS1_Supporting,101,0.33,3.28
BRCA2,BS3,274,0.89,8.90
BRCA2,PM2_Supporting,27704,90.03,900.33
BRCA2,PM5_PTC,1475,4.79,47.93
BRCA2,PP3,578,1.88,18.78
BRCA2,PP4,18,0.06,0.58
BRCA2,PS1,1,0.00,0.03
BRCA2,PS3,131,0.43,4.26
BRCA2,PVS1,1545,5.02,50.21
