gene,bin,cds_start,cds_end,n_variants,signal,count,rate,expected,enrichment,poisson_tail
BRCA2,95,8035,8120,258,vus,241,93.41,44.25,5.45,1.11e-16
BRCA2,111,9403,9487,255,vus,238,93.33,43.73,5.44,8.882e-16
BRCA2,107,9061,9145,255,vus,235,92.16,43.73,5.37,8.882e-16
BRCA2,91,7693,7778,258,vus,237,91.86,44.25,5.36,1.11e-16
BRCA2,103,8719,8803,255,vus,234,91.76,43.73,5.35,8.882e-16
BRCA2,92,7779,7863,255,vus,233,91.37,43.73,5.33,8.882e-16
BRCA2,97,8206,8291,258,vus,235,91.09,44.25,5.31,1.11e-16
BRCA2,96,8121,8205,255,vus,232,90.98,43.73,5.31,8.882e-16
BRCA2,89,7522,7607,258,vus,234,90.70,44.25,5.29,1.11e-16
BRCA2,99,8377,8462,258,vus,234,90.70,44.25,5.29,1.11e-16
BRCA2,90,7608,7692,255,vus,231,90.59,43.73,5.28,8.882e-16
BRCA2,93,7864,7949,258,vus,233,90.31,44.25,5.27,1.11e-16
BRCA2,102,8633,8718,258,vus,233,90.31,44.25,5.27,1.11e-16
BRCA2,108,9146,9231,258,vus,233,90.31,44.25,5.27,1.11e-16
BRCA2,110,9317,9402,258,vus,233,90.31,44.25,5.27,1.11e-16
BRCA2,105,8890,8974,255,vus,230,90.20,43.73,5.26,8.882e-16
BRCA2,98,8292,8376,255,vus,228,89.41,43.73,5.21,8.882e-16
BRCA2,104,8804,8889,258,vus,229,88.76,44.25,5.18,1.11e-16
BRCA2,109,9232,9316,255,vus,226,88.63,43.73,5.17,8.882e-16
BRCA2,101,8548,8632,255,vus,225,88.24,43.73,5.15,8.882e-16
BRCA1,91,4195,4240,141,vus,124,87.94,24.18,5.13,1.11e-16
BRCA2,106,8975,9060,258,vus,224,86.82,44.25,5.06,1.11e-16
BRCA2,88,7437,7521,255,vus,221,86.67,43.73,5.05,8.882e-16
BRCA2,100,8463,8547,255,vus,220,86.27,43.73,5.03,8.882e-16
BRCA2,94,7950,8034,255,vus,217,85.10,43.73,4.96,8.882e-16
BRCA2,112,9488,9573,258,vus,200,77.52,44.25,4.52,1.11e-16
BRCA2,1,1,85,258,vus,175,67.83,44.25,3.96,1.11e-16
BRCA1,92,4241,4287,141,vus,79,56.03,24.18,3.27,1.11e-16
BRCA1,90,4148,4194,138,vus,64,46.38,23.67,2.70,5.717e-12
BRCA1,110,5080,5126,138,vus,64,46.38,23.67,2.70,5.717e-12
BRCA1,94,4334,4380,141,vus,63,44.68,24.18,2.61,3.659e-11
BRCA1,3,94,139,138,vus,55,39.86,23.67,2.32,2.691e-08
BRCA1,14,606,652,141,vus,54,38.30,24.18,2.23,1.229e-07
BRCA2,114,9659,9744,258,vus,95,36.82,44.25,2.15,2.472e-11
BRCA2,2,86,170,255,vus,93,36.47,43.73,2.13,6.405e-11
