gene,cluster,n_bins,cds_start_min,cds_end_max,mean_benign_fraction,mean_vus_fraction,mean_pathogenic_fraction,mean_spliceai_ge_0_20_fraction,mean_near_boundary_fraction,mean_pvs1_fraction,mean_pp3_fraction,mean_bs3_fraction,mean_bp1_fraction
BRCA1,1,19,1,5545,0.6391,0.2800,0.0809,0.0820,0.2857,0.0481,0.0711,0.6797,0.0067
BRCA1,2,81,327,4939,0.9465,0.0070,0.0465,0.0037,0.0018,0.0463,0.0032,0.0269,0.9447
BRCA1,3,7,606,4427,0.7307,0.2223,0.0470,0.0804,0.0000,0.0470,0.0640,0.0164,0.7266
BRCA1,4,2,4195,4287,0.2305,0.7198,0.0496,0.0036,0.0213,0.0496,0.0036,0.0532,0.1631
BRCA1,5,11,280,5592,0.7026,0.2486,0.0487,0.1405,0.4342,0.0448,0.1255,0.0725,0.6491
BRCA2,1,2,1,9573,0.2364,0.7268,0.0368,0.0310,0.3197,0.0349,0.0291,0.0175,0.2190
BRCA2,2,80,86,10257,0.9323,0.0178,0.0499,0.0063,0.0053,0.0500,0.0057,0.0039,0.9311
BRCA2,3,3,3761,4017,0.9533,0.0000,0.0467,0.0000,0.0000,0.0467,0.0000,0.0013,0.9520
BRCA2,4,24,7437,9487,0.0419,0.8997,0.0584,0.0602,0.1122,0.0554,0.0535,0.0273,0.0011
BRCA2,5,11,257,9658,0.8657,0.0896,0.0447,0.0472,0.2688,0.0443,0.0415,0.0060,0.8639
