gene,bin,cds_start,cds_end,n_variants,signal,count,rate,expected,enrichment,poisson_tail
BRCA1,94,4334,4380,141,pp3,50,35.46,3.14,15.91,1.11e-16
BRCA1,5,187,233,138,pp3,41,29.71,3.08,13.33,0
BRCA2,106,8975,9060,258,pp3,70,27.13,5.75,12.17,0
BRCA2,107,9061,9145,255,pp3,67,26.27,5.68,11.79,0
BRCA1,109,5033,5079,141,pp3,36,25.53,3.14,11.45,1.11e-16
BRCA1,6,234,279,141,pp3,34,24.11,3.14,10.82,1.11e-16
BRCA1,7,280,326,141,pp3,30,21.28,3.14,9.54,1.11e-16
BRCA2,114,9659,9744,258,pp3,41,15.89,5.75,7.13,0
BRCA1,4,140,186,141,pp3,21,14.89,3.14,6.68,2.744e-11
BRCA1,17,746,792,141,pp3,20,14.18,3.14,6.36,1.847e-10
BRCA1,88,4055,4100,138,pp3,19,13.77,3.08,6.18,8.391e-10
BRCA1,97,4474,4520,141,pp3,19,13.48,3.14,6.04,1.186e-09
BRCA2,88,7437,7521,255,pp3,34,13.33,5.68,5.98,6.661e-16
BRCA1,15,653,699,138,pp3,18,13.04,3.08,5.85,5.231e-09
BRCA1,13,560,605,138,pp3,17,12.32,3.08,5.53,3.093e-08
BRCA2,91,7693,7778,258,pp3,30,11.63,5.75,5.22,9.137e-13
BRCA1,14,606,652,141,pp3,16,11.35,3.14,5.09,2.292e-07
BRCA1,90,4148,4194,138,pp3,14,10.14,3.08,4.55,4.512e-06
BRCA2,7,513,598,258,pp3,25,9.69,5.75,4.35,2.593e-09
BRCA1,84,3868,3914,141,pp3,13,9.22,3.14,4.14,2.6e-05
BRCA1,10,420,466,138,pp3,11,7.97,3.08,3.58,0.0003601
BRCA1,108,4987,5032,138,pp3,11,7.97,3.08,3.58,0.0003601
BRCA2,8,599,683,255,pp3,20,7.84,5.68,3.52,2.366e-06
BRCA2,99,8377,8462,258,pp3,18,6.98,5.75,3.13,3.35e-05
BRCA2,92,7779,7863,255,pp3,17,6.67,5.68,2.99,9.349e-05
BRCA2,118,10001,10086,258,pp3,17,6.59,5.75,2.96,0.0001072
BRCA2,6,428,512,255,pp3,16,6.27,5.68,2.81,0.0002867
BRCA2,103,8719,8803,255,pp3,16,6.27,5.68,2.81,0.0002867
BRCA1,101,4661,4706,141,pp3,8,5.67,3.14,2.55,0.01531
BRCA1,12,513,559,141,pp3,7,4.96,3.14,2.23,0.04126
BRCA1,117,5406,5452,141,pp3,7,4.96,3.14,2.23,0.04126
BRCA2,90,7608,7692,255,pp3,12,4.71,5.68,2.11,0.01388
