bin,cds_start,cds_end,max_spliceai,spliceai_ge_0_20,class_1,class_2,class_3,class_4,class_5
1,1,85,0.960,9,0,72,175,0,11
2,86,170,0.880,9,3,143,93,0,16
3,171,256,0.910,1,2,244,0,0,12
4,257,341,0.850,8,2,220,18,0,15
5,342,427,0.970,8,1,239,11,0,7
6,428,512,0.970,18,2,223,20,3,7
7,513,598,0.940,31,0,166,80,1,11
8,599,683,0.820,21,2,203,46,0,4
9,684,769,0.810,10,1,231,18,0,8
10,770,854,0.530,4,2,233,5,0,15
11,855,940,0.650,2,1,239,3,0,15
12,941,1025,0.340,2,4,236,2,0,13
13,1026,1111,0.030,0,1,241,0,0,16
14,1112,1196,0.350,1,7,235,0,0,13
15,1197,1282,0.200,1,2,240,1,0,15
16,1283,1367,0.040,0,5,235,0,0,15
17,1368,1453,0.150,0,2,242,1,0,13
18,1454,1538,0.440,2,4,236,2,0,13
19,1539,1624,0.160,0,0,245,3,0,10
20,1625,1709,0.040,0,1,239,0,0,15
21,1710,1794,0.830,3,9,230,4,0,12
22,1795,1880,0.300,1,7,232,1,0,18
23,1881,1965,0.970,5,5,229,8,0,13
24,1966,2051,0.610,1,0,249,0,0,9
25,2052,2136,0.150,0,0,236,2,0,17
26,2137,2222,0.060,0,1,242,0,0,15
27,2223,2307,0.010,0,2,238,0,0,15
28,2308,2393,0.030,0,1,241,0,0,16
29,2394,2478,0.040,0,2,238,0,0,15
30,2479,2564,0.000,0,2,238,0,0,18
31,2565,2649,0.000,0,1,241,0,0,13
32,2650,2735,0.010,0,2,245,0,0,11
33,2736,2820,0.070,0,6,237,0,0,12
34,2821,2906,0.000,0,0,244,0,0,14
35,2907,2991,0.000,0,9,230,0,0,16
36,2992,3077,0.000,0,1,245,0,0,12
37,3078,3162,0.010,0,1,240,0,0,14
38,3163,3248,0.000,0,1,245,0,0,12
39,3249,3333,0.000,0,2,241,0,0,12
40,3334,3419,0.000,0,2,235,0,0,18
41,3420,3504,0.010,0,3,245,0,0,10
42,3505,3589,0.040,0,6,239,0,0,10
43,3590,3675,0.000,0,2,245,0,0,11
44,3676,3760,0.000,0,2,245,0,0,8
45,3761,3846,0.010,0,3,244,0,0,11
46,3847,3931,0.070,0,2,241,0,0,12
47,3932,4017,0.000,0,1,244,0,0,13
48,4018,4102,0.020,0,5,238,0,0,12
49,4103,4188,0.010,0,2,239,0,0,17
50,4189,4273,0.020,0,3,239,0,0,13
51,4274,4359,0.020,0,2,247,0,0,9
52,4360,4444,0.010,0,1,239,0,0,15
