gene,bin,cds_start,cds_end,n_variants,pathogenic_count,pathogenic_rate,pathogenic_expected,pathogenic_enrichment,pathogenic_poisson_tail,vus_count,vus_rate,vus_expected,vus_enrichment,vus_poisson_tail,high_spliceai_count,high_spliceai_rate,high_spliceai_expected,high_spliceai_enrichment,high_spliceai_poisson_tail,pvs1_count,pvs1_rate,pvs1_expected,pvs1_enrichment,pvs1_poisson_tail,pm5_ptc_count,pm5_ptc_rate,pm5_ptc_expected,pm5_ptc_enrichment,pm5_ptc_poisson_tail,bs3_count,bs3_rate,bs3_expected,bs3_enrichment,bs3_poisson_tail,bp1_count,bp1_rate,bp1_expected,bp1_enrichment,bp1_poisson_tail,pp3_count,pp3_rate,pp3_expected,pp3_enrichment,pp3_poisson_tail
BRCA1,1,1,46,141,7,0.0496454,7.23875,0.967017,0.585224,37,0.262411,24.1806,1.53015,0.00914575,5,0.035461,3.57341,1.39922,0.288485,5,0.035461,6.90069,0.724565,0.817754,5,0.035461,6.64566,0.752371,0.792163,105,0.744681,7.49675,14.0061,0,0,0,103.362,0,1,2,0.0141844,3.14342,0.636251,0.821273
BRCA1,2,47,93,141,14,0.0992908,7.23875,1.93403,0.0165607,42,0.297872,24.1806,1.73693,0.00063317,8,0.0567376,3.57341,2.23876,0.0296738,10,0.070922,6.90069,1.44913,0.159578,10,0.070922,6.64566,1.50474,0.135462,92,0.652482,7.49675,12.272,0,0,0,103.362,0,1,6,0.0425532,3.14342,1.90875,0.0990619
BRCA1,3,94,139,138,10,0.0724638,7.08474,1.41148,0.1782,55,0.398551,23.6661,2.324,2.6912e-08,3,0.0217391,3.49738,0.857785,0.678668,5,0.0362319,6.75386,0.740317,0.803348,5,0.0362319,6.50426,0.768727,0.776804,74,0.536232,7.33725,10.0855,0,0,0,101.163,0,1,3,0.0217391,3.07653,0.975123,0.593736
BRCA1,4,140,186,141,12,0.0851064,7.23875,1.65774,0.0648797,33,0.234043,24.1806,1.36473,0.0506205,24,0.170213,3.57341,6.71627,9.90541e-13,9,0.0638298,6.90069,1.30422,0.258056,9,0.0638298,6.64566,1.35427,0.226016,104,0.737589,7.49675,13.8727,0,0,0,103.362,0,1,21,0.148936,3.14342,6.68063,2.74396e-11
BRCA1,5,187,233,138,21,0.152174,7.08474,2.96412,1.72385e-05,16,0.115942,23.6661,0.676073,0.960418,46,0.333333,3.49738,13.1527,0,8,0.057971,6.75386,1.18451,0.364665,8,0.057971,6.50426,1.22996,0.327865,100,0.724638,7.33725,13.6291,0,0,0,101.163,0,1,41,0.297101,3.07653,13.3267,0
BRCA1,6,234,279,141,12,0.0851064,7.23875,1.65774,0.0648797,36,0.255319,24.1806,1.4888,0.0145505,39,0.276596,3.57341,10.9139,0,7,0.0496454,6.90069,1.01439,0.535389,7,0.0496454,6.64566,1.05332,0.496275,99,0.702128,7.49675,13.2057,0,0,0,103.362,0,1,34,0.241135,3.14342,10.8163,1.11022e-16
BRCA1,7,280,326,141,9,0.0638298,7.23875,1.24331,0.302525,32,0.22695,24.1806,1.32338,0.0729702,33,0.234043,3.57341,9.23487,0,7,0.0496454,6.90069,1.01439,0.535389,7,0.0496454,6.64566,1.05332,0.496275,33,0.234043,7.49675,4.40191,6.07503e-12,69,0.489362,103.362,0.667556,0.999863,30,0.212766,3.14342,9.54376,1.11022e-16
BRCA1,8,327,372,138,5,0.0362319,7.08474,0.705742,0.834599,2,0.0144928,23.6661,0.0845091,1,0,0,3.49738,0,0.969723,5,0.0362319,6.75386,0.740317,0.803348,5,0.0362319,6.50426,0.768727,0.776804,2,0.0144928,7.33725,0.272582,0.994574,131,0.949275,101.163,1.29494,0.00250476,0,0,3.07653,0,0.953881
BRCA1,9,373,419,141,7,0.0496454,7.23875,0.967017,0.585224,3,0.0212766,24.1806,0.124067,1,1,0.0070922,3.57341,0.279845,0.97194,7,0.0496454,6.90069,1.01439,0.535389,7,0.0496454,6.64566,1.05332,0.496275,3,0.0212766,7.49675,0.400173,0.979693,131,0.929078,103.362,1.26739,0.00494807,1,0.0070922,3.14342,0.318125,0.956865
BRCA1,10,420,466,138,6,0.0434783,7.08474,0.846891,0.709983,13,0.0942029,23.6661,0.549309,0.993552,13,0.0942029,3.49738,3.71707,7.54022e-05,6,0.0434783,6.75386,0.88838,0.666759,6,0.0434783,6.50426,0.922472,0.631578,5,0.0362319,7.33725,0.681455,0.855612,119,0.862319,101.163,1.17632,0.0451471,11,0.0797101,3.07653,3.57545,0.000360147
