bin,cds_start,cds_end,max_spliceai,spliceai_ge_0_20,group_benign,group_vus,group_pathogenic
1,1,85,0.960,9,72,175,11
2,86,170,0.880,9,146,93,16
3,171,256,0.910,1,246,0,12
4,257,341,0.850,8,222,18,15
5,342,427,0.970,8,240,11,7
6,428,512,0.970,18,225,20,10
7,513,598,0.940,31,166,80,12
8,599,683,0.820,21,205,46,4
9,684,769,0.810,10,232,18,8
10,770,854,0.530,4,235,5,15
11,855,940,0.650,2,240,3,15
12,941,1025,0.340,2,240,2,13
13,1026,1111,0.030,0,242,0,16
14,1112,1196,0.350,1,242,0,13
15,1197,1282,0.200,1,242,1,15
16,1283,1367,0.040,0,240,0,15
17,1368,1453,0.150,0,244,1,13
18,1454,1538,0.440,2,240,2,13
19,1539,1624,0.160,0,245,3,10
20,1625,1709,0.040,0,240,0,15
21,1710,1794,0.830,3,239,4,12
22,1795,1880,0.300,1,239,1,18
23,1881,1965,0.970,5,234,8,13
24,1966,2051,0.610,1,249,0,9
25,2052,2136,0.150,0,236,2,17
26,2137,2222,0.060,0,243,0,15
27,2223,2307,0.010,0,240,0,15
28,2308,2393,0.030,0,242,0,16
29,2394,2478,0.040,0,240,0,15
30,2479,2564,0.000,0,240,0,18
31,2565,2649,0.000,0,242,0,13
32,2650,2735,0.010,0,247,0,11
33,2736,2820,0.070,0,243,0,12
34,2821,2906,0.000,0,244,0,14
35,2907,2991,0.000,0,239,0,16
36,2992,3077,0.000,0,246,0,12
37,3078,3162,0.010,0,241,0,14
38,3163,3248,0.000,0,246,0,12
39,3249,3333,0.000,0,243,0,12
40,3334,3419,0.000,0,237,0,18
41,3420,3504,0.010,0,248,0,10
42,3505,3589,0.040,0,245,0,10
43,3590,3675,0.000,0,247,0,11
44,3676,3760,0.000,0,247,0,8
45,3761,3846,0.010,0,247,0,11
46,3847,3931,0.070,0,243,0,12
47,3932,4017,0.000,0,245,0,13
48,4018,4102,0.020,0,243,0,12
49,4103,4188,0.010,0,241,0,17
50,4189,4273,0.020,0,242,0,13
51,4274,4359,0.020,0,249,0,9
52,4360,4444,0.010,0,240,0,15
53,4445,4530,0.020,0,248,0,10
54,4531,4615,0.040,0,244,0,11
55,4616,4701,0.050,0,246,0,12
56,4702,4786,0.020,0,238,0,17
57,4787,4872,0.020,0,247,0,11
58,4873,4957,0.000,0,243,0,12
59,4958,5043,0.000,0,240,0,18
60,5044,5128,0.010,0,239,0,16
61,5129,5213,0.010,0,239,0,16
62,5214,5299,0.010,0,238,0,20
63,5300,5384,0.010,0,247,0,8
64,5385,5470,0.000,0,246,0,12
65,5471,5555,0.000,0,251,0,4
66,5556,5641,0.000,0,246,0,12
67,5642,5726,0.000,0,241,0,14
68,5727,5812,0.000,0,245,0,13
69,5813,5897,0.000,0,240,0,15
70,5898,5983,0.000,0,242,0,16
71,5984,6068,0.010,0,243,0,12
72,6069,6154,0.010,0,243,0,15
73,6155,6239,0.000,0,241,0,14
74,6240,6325,0.010,0,243,0,15
75,6326,6410,0.000,0,236,0,19
76,6411,6496,0.770,3,239,5,14
77,6497,6581,0.050,0,238,0,17
78,6582,6667,0.620,10,224,21,13
79,6668,6752,0.050,0,248,0,7
80,6753,6838,0.970,4,232,5,18
81,6839,6923,0.920,16,202,35,21
82,6924,7008,0.950,9,237,9,9
83,7009,7094,0.790,4,242,4,12
84,7095,7179,0.460,3,232,6,17
85,7180,7265,0.760,3,243,4,11
86,7266,7350,0.180,0,243,2,10
87,7351,7436,0.950,9,235,12,11
88,7437,7521,0.700,37,22,221,12
89,7522,7607,0.240,3,16,234,8
90,7608,7692,0.720,16,11,231,13
91,7693,7778,0.990,32,4,237,17
92,7779,7863,0.930,18,8,233,14
93,7864,7949,0.840,7,9,233,16
94,7950,8034,0.990,14,15,217,23
95,8035,8120,0.830,1,10,241,7
96,8121,8205,0.230,1,10,232,13
97,8206,8291,0.250,1,13,235,10
98,8292,8376,0.860,10,15,228,12
99,8377,8462,0.970,20,15,234,9
100,8463,8547,0.950,8,10,220,25
101,8548,8632,0.890,6,11,225,19
102,8633,8718,0.780,7,9,233,16
103,8719,8803,0.990,19,7,234,14
104,8804,8889,0.430,1,10,229,19
105,8890,8974,0.900,10,9,230,16
106,8975,9060,0.900,81,8,224,26
107,9061,9145,0.920,74,2,235,18
108,9146,9231,0.220,1,14,233,11
109,9232,9316,0.620,2,11,226,18
110,9317,9402,0.190,0,11,233,14
111,9403,9487,0.240,1,8,238,9
112,9488,9573,0.940,7,50,200,8
113,9574,9658,0.770,4,237,9,9
114,9659,9744,0.990,45,146,95,17
115,9745,9829,0.100,0,237,0,18
116,9830,9915,0.580,5,245,6,7
117,9916,10000,0.030,0,243,9,3
118,10001,10086,0.560,18,215,43,0
119,10087,10171,0.390,2,238,17,0
120,10172,10257,0.140,0,237,18,0
