gene,bin,cds_start,cds_end,n_variants,signal,count,rate,expected,enrichment,poisson_tail
BRCA1,106,4894,4939,141,bs3,122,86.52,7.50,16.27,0
BRCA1,116,5360,5405,141,bs3,117,82.98,7.50,15.61,0
BRCA1,118,5453,5498,138,bs3,111,80.43,7.34,15.13,0
BRCA1,107,4940,4986,141,bs3,107,75.89,7.50,14.27,0
BRCA1,115,5313,5359,138,bs3,104,75.36,7.34,14.17,0
BRCA1,1,1,46,141,bs3,105,74.47,7.50,14.01,0
BRCA1,4,140,186,141,bs3,104,73.76,7.50,13.87,0
BRCA1,5,187,233,138,bs3,100,72.46,7.34,13.63,0
BRCA1,6,234,279,141,bs3,99,70.21,7.50,13.21,0
BRCA1,112,5173,5219,141,bs3,99,70.21,7.50,13.21,0
BRCA1,117,5406,5452,141,bs3,99,70.21,7.50,13.21,0
BRCA1,108,4987,5032,138,bs3,95,68.84,7.34,12.95,0
BRCA1,114,5266,5312,141,bs3,93,65.96,7.50,12.41,0
BRCA1,2,47,93,141,bs3,92,65.25,7.50,12.27,0
BRCA1,111,5127,5172,141,bs3,89,63.12,7.50,11.87,0
BRCA1,113,5220,5265,138,bs3,86,62.32,7.34,11.72,0
BRCA1,119,5499,5545,141,bs3,85,60.28,7.50,11.34,0
BRCA1,109,5033,5079,141,bs3,76,53.90,7.50,10.14,0
BRCA1,3,94,139,138,bs3,74,53.62,7.34,10.09,0
BRCA1,110,5080,5126,138,bs3,72,52.17,7.34,9.81,0
BRCA1,120,5546,5592,138,bs3,50,36.23,7.34,6.81,0
BRCA1,7,280,326,141,bs3,33,23.40,7.50,4.40,6.075e-12
