gene,bin,cds_start,cds_end,n_variants,signal,count,rate,expected,enrichment,poisson_tail
BRCA1,94,4334,4380,141,high_spliceai,56,39.72,3.57,15.67,0
BRCA1,5,187,233,138,high_spliceai,46,33.33,3.50,13.15,0
BRCA2,106,8975,9060,258,high_spliceai,81,31.40,6.54,12.39,3.331e-16
BRCA2,107,9061,9145,255,high_spliceai,74,29.02,6.46,11.45,2.22e-16
BRCA1,109,5033,5079,141,high_spliceai,40,28.37,3.57,11.19,0
BRCA1,6,234,279,141,high_spliceai,39,27.66,3.57,10.91,0
BRCA1,7,280,326,141,high_spliceai,33,23.40,3.57,9.23,0
BRCA2,114,9659,9744,258,high_spliceai,45,17.44,6.54,6.88,3.331e-16
BRCA1,88,4055,4100,138,high_spliceai,24,17.39,3.50,6.86,6.358e-13
BRCA1,4,140,186,141,high_spliceai,24,17.02,3.57,6.72,9.905e-13
BRCA1,14,606,652,141,high_spliceai,23,16.31,3.57,6.44,6.699e-12
BRCA2,88,7437,7521,255,high_spliceai,37,14.51,6.46,5.73,3.331e-16
BRCA1,17,746,792,141,high_spliceai,20,14.18,3.57,5.60,1.599e-09
BRCA1,13,560,605,138,high_spliceai,19,13.77,3.50,5.43,6.452e-09
BRCA1,15,653,699,138,high_spliceai,19,13.77,3.50,5.43,6.452e-09
BRCA1,97,4474,4520,141,high_spliceai,19,13.48,3.57,5.32,9.039e-09
BRCA2,91,7693,7778,258,high_spliceai,32,12.40,6.54,4.89,8.529e-13
BRCA2,7,513,598,258,high_spliceai,31,12.02,6.54,4.74,4.205e-12
BRCA1,90,4148,4194,138,high_spliceai,15,10.87,3.50,4.29,4.227e-06
BRCA1,108,4987,5032,138,high_spliceai,15,10.87,3.50,4.29,4.227e-06
BRCA1,84,3868,3914,141,high_spliceai,14,9.93,3.57,3.92,2.326e-05
BRCA1,10,420,466,138,high_spliceai,13,9.42,3.50,3.72,7.54e-05
BRCA2,8,599,683,255,high_spliceai,21,8.24,6.46,3.25,4.482e-06
BRCA2,99,8377,8462,258,high_spliceai,20,7.75,6.54,3.06,1.747e-05
BRCA2,103,8719,8803,255,high_spliceai,19,7.45,6.46,2.94,4.69e-05
BRCA1,101,4661,4706,141,high_spliceai,10,7.09,3.57,2.80,0.003825
BRCA1,117,5406,5452,141,high_spliceai,10,7.09,3.57,2.80,0.003825
BRCA2,6,428,512,255,high_spliceai,18,7.06,6.46,2.79,0.0001411
BRCA2,92,7779,7863,255,high_spliceai,18,7.06,6.46,2.79,0.0001411
BRCA2,118,10001,10086,258,high_spliceai,18,6.98,6.54,2.75,0.0001624
BRCA2,90,7608,7692,255,high_spliceai,16,6.27,6.46,2.48,0.001094
BRCA2,81,6839,6923,258,high_spliceai,16,6.20,6.54,2.45,0.001231
BRCA1,2,47,93,141,high_spliceai,8,5.67,3.57,2.24,0.02967
BRCA1,12,513,559,141,high_spliceai,8,5.67,3.57,2.24,0.02967
BRCA2,94,7950,8034,255,high_spliceai,14,5.49,6.46,2.17,0.006772
BRCA1,73,3356,3401,138,high_spliceai,7,5.07,3.50,2.00,0.06509
BRCA1,95,4381,4427,138,high_spliceai,7,5.07,3.50,2.00,0.06509
