public_snapshot_category,action_group,count
single-submitter assertion,computational_signal_needs_noncomputational_support,28
multi-submitter assertion,computational_signal_needs_noncomputational_support,26
conflicting public assertions,computational_signal_needs_noncomputational_support,9
no public assertion,computational_signal_needs_noncomputational_support,7
ClinGen/ENIGMA assertion,computational_signal_needs_noncomputational_support,2
panel-level public assertion,computational_signal_needs_noncomputational_support,2
conflicting public assertions,manual_conflict_adjudication,1
conflicting public assertions,near_pathogenic_threshold,1
multi-submitter assertion,manual_conflict_adjudication,1
multi-submitter assertion,near_pathogenic_threshold,1
panel-level public assertion,manual_conflict_adjudication,1
panel-level public assertion,near_pathogenic_threshold,1
