criteria_combo,count
BP1+PM2_Supporting,31088
BP1,2866
BS3+PM2_Supporting,1708
BP1+BS3+PM2_Supporting,261
BP1+BP5,182
BS3+PM2_Supporting+PP3,119
BP4+BP7,119
BP1+BP5+PM2_Supporting,103
BP1+BS3,93
BP1+BS1_Supporting,74
BP1+BP5+BS3,61
BP1+BS1_Strong,50
BA1,48
BP5+BS3,30
BP1+BP5+BS1_Strong,23
BP1+BP5+BS1_Supporting,17
BP5+BS3+PM2_Supporting,13
BS1_Supporting+BS3,11
BP1+BP5+BS3+PM2_Supporting,11
BP1+BP5+BS1_Strong+BS3,11
BP5,10
BP1+BP5+BS1_Supporting+BS3,7
BP1+BS1_Supporting+BS3,6
BP4+BP7+BS1_Supporting,6
BS1_Strong+BS3,5
BS3+PP3,5
BP5+BS1_Strong+BS3,5
BP5+BS1_Supporting+BS3,4
BP5+PM2_Supporting,3
BP1+BS1_Strong+BS3,2
BP5+BS3+PP3,2
BP5+BS1_Supporting,2
BP4+BP7+BS1_Strong,2
BP5+BS1_Strong,1
BS1_Supporting+BS3+PP3,1
BP4+BP5+BP7,1
BP5+PS3,1
BP5+BS1_Supporting+BS3+PP3,1
