curated_active_site_status,count
region_level:UniProt:Domain:BRCT 2 (1756-1855) [source_extracted_region],8
not_curated_in_current_dataset,7
region_level:UniProt:Domain:BRCT 1 (1642-1736) [source_extracted_region],6
region_level:UniProt:Region:Interaction with SEM1 (2481-2832) [source_extracted_region],5
zinc_coordination_core:BRCA1 RING C3HC4 zinc-coordinating residue Cys44 [seed_needs_source_line_review];region_level:UniProt:Zinc finger:RING-type (24-65) [source_extracted_region],2
UniProt:Mutagenesis:Abolishes interaction with BRIP1. [source_extracted],2
UniProt:Natural variant:in BC; pathogenic; strongly reduced transcription transactivation; abolishes interaction with BRIP1 and RBBP8; dbSNP:rs41293463 [source_extracted];UniProt:Natural variant:in BC; pathogenic; alters protein stability and abolishes ACACA and BRIP1 binding; dbSNP:rs41293463 [source_extracted];region_level:UniProt:Domain:BRCT 2 (1756-1855) [source_extracted_region],2
zinc_coordination_core:BRCA1 RING C3HC4 zinc-coordinating residue His41 [seed_needs_source_line_review];region_level:UniProt:Zinc finger:RING-type (24-65) [source_extracted_region],1
zinc_coordination_core:BRCA1 RING C3HC4 zinc-coordinating residue Cys47 [seed_needs_source_line_review];region_level:UniProt:Zinc finger:RING-type (24-65) [source_extracted_region],1
UniProt:Natural variant:in BC and OC; pathogenic; no interaction with BAP1; dbSNP:rs28897672 [source_extracted];zinc_coordination_core:BRCA1 RING C3HC4 zinc-coordinating residue Cys61 [seed_needs_source_line_review];region_level:UniProt:Zinc finger:RING-type (24-65) [source_extracted_region],1
UniProt:Natural variant:in BC and FANCS; pathogenic; decreased localization to DNA damage sites and reduced interaction with UIMC1/RAP80; dbSNP:rs45553935 [source_extracted];region_level:UniProt:Domain:BRCT 1 (1642-1736) [source_extracted_region],1
region_level:UniProt:Region:Interaction with PALB2 (1-40) [source_extracted_region],1
