deep_bucket,parent_bottleneck,count,high_priority_count,near_pathogenic_dense_count,high_spliceai_count,top_combo,what_it_means,practical_next_step
PM2_only_pathogenic_neighborhood,PM2_only,3692,0,3692,0,PM2_Supporting,"The variant is near a dense pathogenic region, but has no direct automated evidence beyond PM2; in full-SNV scans this is a broad context signal, not a decision signal.",Do not prioritize on density alone; use only if another independent signal or external evidence is available.
PM2_only_low_information_background,PM2_only,1296,0,0,0,PM2_Supporting,The variant has only absence from population data and no strong local prioritization signal.,Lowest priority; needs external data before classification can move.
BP4_BP7_PM2_near_pathogenic_density,mixed_splice_benign_and_pathogenic,930,0,930,0,BP4+BP7+PM2_Supporting,"Benign splice prediction is present, but the local region contains many pathogenic variants.",Do not over-trust benign splice prediction; review local pathogenic mechanism and possible non-splice effect.
PS3_PM2_needs_one_more_pathogenic_support,strong_pathogenic_combo_one_step_short,407,25,356,1,PM2_Supporting+PS3,"Strong functional pathogenic evidence plus PM2 is close, but still lacks the exact ENIGMA combination.","Look for PP1, PM3, PS4, PP4, curated PS1, or another accepted supporting pathogenic item."
BP4_BP7_PM2_low_splice_benign_prediction,mixed_splice_benign_and_pathogenic,340,0,0,0,BP4+BP7+PM2_Supporting,Benign splice prediction plus PM2 remains VUS because evidence is weak and mixed.,"Consider as benign-leaning VUS; needs additional benign evidence such as BS2, BS4, or functional/RNA confirmation."
PM2_only_splice_or_boundary_context,PM2_only,58,0,0,10,PM2_Supporting,The variant is PM2-only but sits in splice/boundary context that may deserve checking.,"Check transcript, splice boundary annotation, RNA evidence, and whether SpliceAI remains low on reference transcript."
PS3_only_needs_independent_support,strong_pathogenic_combo_one_step_short,27,1,21,0,PS3,Functional pathogenic evidence alone is not enough for likely pathogenic.,"Look first for population absence, segregation, case-control, phenotype specificity, or curated functional interpretation."
complex_strong_pathogenic_combo_review,strong_pathogenic_combo_one_step_short,8,8,8,0,PM2_Supporting+PS1+PS3,"Several pathogenic signals are present, but the exact combination still misses the rule threshold.",Manual rule-combination review; check if non-automated criteria already exist in external sources.
BP4_BP7_PM2_boundary_splice_benign,mixed_splice_benign_and_pathogenic,6,0,0,0,BP4+BP7+PM2_Supporting,"The variant is at or near a splice boundary, but SpliceAI/BP7 logic points benign.",RNA evidence would be most useful; one additional benign supporting item could move these toward likely benign.
PS3_PP3_splice_or_functional_followup,strong_pathogenic_combo_one_step_short,4,4,3,4,PP3+PS3,"Functional evidence and computational splice/pathogenic signal point together, but still need another independent evidence item.",Prioritize RNA or independent functional/clinical evidence because signals already point in the same direction.
