bottleneck_category,gene,cds_exon,count,high_priority_count,near_pathogenic_dense_count,max_spliceai,top_deep_bucket
strong_pathogenic_combo_one_step_short,BRCA1,16,60,8,60,0.40,PS3_PM2_needs_one_more_pathogenic_support
strong_pathogenic_combo_one_step_short,BRCA1,1,34,5,24,0.23,PS3_PM2_needs_one_more_pathogenic_support
strong_pathogenic_combo_one_step_short,BRCA1,2,32,5,32,0.04,PS3_PM2_needs_one_more_pathogenic_support
strong_pathogenic_combo_one_step_short,BRCA1,17,8,4,8,0.07,PS3_PM2_needs_one_more_pathogenic_support
strong_pathogenic_combo_one_step_short,BRCA1,19,17,3,17,0.03,PS3_PM2_needs_one_more_pathogenic_support
strong_pathogenic_combo_one_step_short,BRCA1,18,42,2,42,0.07,PS3_PM2_needs_one_more_pathogenic_support
strong_pathogenic_combo_one_step_short,BRCA2,16,28,2,25,0.17,PS3_PM2_needs_one_more_pathogenic_support
strong_pathogenic_combo_one_step_short,BRCA1,3,18,2,18,0.65,PS3_PM2_needs_one_more_pathogenic_support
strong_pathogenic_combo_one_step_short,BRCA1,22,33,1,33,0.01,PS3_PM2_needs_one_more_pathogenic_support
strong_pathogenic_combo_one_step_short,BRCA2,17,25,1,16,0.03,PS3_PM2_needs_one_more_pathogenic_support
strong_pathogenic_combo_one_step_short,BRCA1,4,24,1,24,0.16,PS3_PM2_needs_one_more_pathogenic_support
strong_pathogenic_combo_one_step_short,BRCA1,15,23,1,23,0.19,PS3_PM2_needs_one_more_pathogenic_support
strong_pathogenic_combo_one_step_short,BRCA1,20,19,1,19,0.01,PS3_PM2_needs_one_more_pathogenic_support
strong_pathogenic_combo_one_step_short,BRCA2,23,8,1,2,0.22,PS3_PM2_needs_one_more_pathogenic_support
strong_pathogenic_combo_one_step_short,BRCA2,12,1,1,1,0.18,PS3_only_needs_independent_support
PM2_only,BRCA2,17,640,0,334,0.14,PM2_only_pathogenic_neighborhood
PM2_only,BRCA2,24,483,0,310,0.16,PM2_only_pathogenic_neighborhood
