criterion,predicted_class,label,count
BA1,1,Benign,48
BP1,1,Benign,710
BP1,2,Likely Benign,34145
BP4,2,Likely Benign,128
BP4,3,VUS,1276
BP5,1,Benign,337
BP5,2,Likely Benign,151
BP5,3,VUS,26
BP7,2,Likely Benign,128
BP7,3,VUS,1276
BS1_Strong,1,Benign,97
BS1_Strong,2,Likely Benign,2
BS1_Strong,3,VUS,2
BS1_Supporting,1,Benign,29
BS1_Supporting,2,Likely Benign,100
BS1_Supporting,3,VUS,11
BS1_Supporting,5,Pathogenic,1
BS3,1,Benign,495
BS3,2,Likely Benign,1861
BS3,3,VUS,172
PM2_Supporting,1,Benign,328
PM2_Supporting,2,Likely Benign,32978
PM2_Supporting,3,VUS,7545
PM2_Supporting,4,Likely Pathogenic,136
PM2_Supporting,5,Pathogenic,2179
PM5_PTC,4,Likely Pathogenic,1
PM5_PTC,5,Pathogenic,2240
PP3,1,Benign,2
PP3,2,Likely Benign,126
PP3,3,VUS,854
PP3,4,Likely Pathogenic,66
PP3,5,Pathogenic,12
PP4,3,VUS,6
PP4,4,Likely Pathogenic,9
PP4,5,Pathogenic,43
PS1,3,VUS,5
PS1,4,Likely Pathogenic,2
PS3,2,Likely Benign,1
PS3,3,VUS,448
PS3,4,Likely Pathogenic,63
PS3,5,Pathogenic,187
PVS1,3,VUS,1
PVS1,4,Likely Pathogenic,69
PVS1,5,Pathogenic,2257
