gene,group,label,spliceai_bin,boundary_distance_bin,count,group_total,percent_within_group
BRCA1,benign,Benign/Likely Benign,0-0.049,0,28,14274,0.20
BRCA1,benign,Benign/Likely Benign,0-0.049,1-2,102,14274,0.71
BRCA1,benign,Benign/Likely Benign,0-0.049,3-5,211,14274,1.48
BRCA1,benign,Benign/Likely Benign,0-0.049,6-10,374,14274,2.62
BRCA1,benign,Benign/Likely Benign,0-0.049,11-20,720,14274,5.04
BRCA1,benign,Benign/Likely Benign,0-0.049,21-50,1493,14274,10.46
BRCA1,benign,Benign/Likely Benign,0-0.049,51-100,1046,14274,7.33
BRCA1,benign,Benign/Likely Benign,0-0.049,101-250,912,14274,6.39
BRCA1,benign,Benign/Likely Benign,0-0.049,>250,8173,14274,57.26
BRCA1,benign,Benign/Likely Benign,0.05-0.099,0,7,14274,0.05
BRCA1,benign,Benign/Likely Benign,0.05-0.099,1-2,22,14274,0.15
BRCA1,benign,Benign/Likely Benign,0.05-0.099,3-5,42,14274,0.29
BRCA1,benign,Benign/Likely Benign,0.05-0.099,6-10,64,14274,0.45
BRCA1,benign,Benign/Likely Benign,0.05-0.099,11-20,128,14274,0.90
BRCA1,benign,Benign/Likely Benign,0.05-0.099,21-50,253,14274,1.77
BRCA1,benign,Benign/Likely Benign,0.05-0.099,51-100,87,14274,0.61
BRCA1,benign,Benign/Likely Benign,0.05-0.099,101-250,123,14274,0.86
BRCA1,benign,Benign/Likely Benign,0.05-0.099,>250,119,14274,0.83
BRCA1,benign,Benign/Likely Benign,0.10-0.199,0,6,14274,0.04
BRCA1,benign,Benign/Likely Benign,0.10-0.199,1-2,16,14274,0.11
BRCA1,benign,Benign/Likely Benign,0.10-0.199,3-5,12,14274,0.08
BRCA1,benign,Benign/Likely Benign,0.10-0.199,6-10,30,14274,0.21
BRCA1,benign,Benign/Likely Benign,0.10-0.199,11-20,36,14274,0.25
BRCA1,benign,Benign/Likely Benign,0.10-0.199,21-50,121,14274,0.85
BRCA1,benign,Benign/Likely Benign,0.10-0.199,51-100,3,14274,0.02
BRCA1,benign,Benign/Likely Benign,0.10-0.199,101-250,15,14274,0.11
BRCA1,benign,Benign/Likely Benign,0.10-0.199,>250,8,14274,0.06
BRCA1,benign,Benign/Likely Benign,0.20-0.499,0,5,14274,0.04
BRCA1,benign,Benign/Likely Benign,0.20-0.499,1-2,3,14274,0.02
BRCA1,benign,Benign/Likely Benign,0.20-0.499,3-5,3,14274,0.02
BRCA1,benign,Benign/Likely Benign,0.20-0.499,6-10,13,14274,0.09
BRCA1,benign,Benign/Likely Benign,0.20-0.499,11-20,24,14274,0.17
BRCA1,benign,Benign/Likely Benign,0.20-0.499,21-50,51,14274,0.36
BRCA1,benign,Benign/Likely Benign,0.20-0.499,51-100,2,14274,0.01
BRCA1,benign,Benign/Likely Benign,0.20-0.499,101-250,0,14274,0.00
BRCA1,benign,Benign/Likely Benign,0.20-0.499,>250,0,14274,0.00
BRCA1,benign,Benign/Likely Benign,0.50-0.799,0,0,14274,0.00
BRCA1,benign,Benign/Likely Benign,0.50-0.799,1-2,3,14274,0.02
BRCA1,benign,Benign/Likely Benign,0.50-0.799,3-5,1,14274,0.01
BRCA1,benign,Benign/Likely Benign,0.50-0.799,6-10,1,14274,0.01
BRCA1,benign,Benign/Likely Benign,0.50-0.799,11-20,3,14274,0.02
BRCA1,benign,Benign/Likely Benign,0.50-0.799,21-50,4,14274,0.03
BRCA1,benign,Benign/Likely Benign,0.50-0.799,51-100,1,14274,0.01
BRCA1,benign,Benign/Likely Benign,0.50-0.799,101-250,0,14274,0.00
BRCA1,benign,Benign/Likely Benign,0.50-0.799,>250,0,14274,0.00
BRCA1,benign,Benign/Likely Benign,0.80-1.00,0,0,14274,0.00
BRCA1,benign,Benign/Likely Benign,0.80-1.00,1-2,2,14274,0.01
BRCA1,benign,Benign/Likely Benign,0.80-1.00,3-5,0,14274,0.00
BRCA1,benign,Benign/Likely Benign,0.80-1.00,6-10,0,14274,0.00
BRCA1,benign,Benign/Likely Benign,0.80-1.00,11-20,7,14274,0.05
BRCA1,benign,Benign/Likely Benign,0.80-1.00,21-50,0,14274,0.00
BRCA1,benign,Benign/Likely Benign,0.80-1.00,51-100,0,14274,0.00
BRCA1,benign,Benign/Likely Benign,0.80-1.00,101-250,0,14274,0.00
BRCA1,benign,Benign/Likely Benign,0.80-1.00,>250,0,14274,0.00
BRCA1,vus,VUS,0-0.049,0,13,1625,0.80
BRCA1,vus,VUS,0-0.049,1-2,29,1625,1.78
BRCA1,vus,VUS,0-0.049,3-5,53,1625,3.26
BRCA1,vus,VUS,0-0.049,6-10,81,1625,4.98
BRCA1,vus,VUS,0-0.049,11-20,153,1625,9.42
BRCA1,vus,VUS,0-0.049,21-50,343,1625,21.11
BRCA1,vus,VUS,0-0.049,51-100,116,1625,7.14
BRCA1,vus,VUS,0-0.049,101-250,0,1625,0.00
BRCA1,vus,VUS,0-0.049,>250,0,1625,0.00
BRCA1,vus,VUS,0.05-0.099,0,3,1625,0.18
BRCA1,vus,VUS,0.05-0.099,1-2,4,1625,0.25
BRCA1,vus,VUS,0.05-0.099,3-5,14,1625,0.86
BRCA1,vus,VUS,0.05-0.099,6-10,13,1625,0.80
BRCA1,vus,VUS,0.05-0.099,11-20,31,1625,1.91
BRCA1,vus,VUS,0.05-0.099,21-50,50,1625,3.08
BRCA1,vus,VUS,0.05-0.099,51-100,0,1625,0.00
BRCA1,vus,VUS,0.05-0.099,101-250,0,1625,0.00
BRCA1,vus,VUS,0.05-0.099,>250,0,1625,0.00
BRCA1,vus,VUS,0.10-0.199,0,10,1625,0.62
BRCA1,vus,VUS,0.10-0.199,1-2,13,1625,0.80
BRCA1,vus,VUS,0.10-0.199,3-5,19,1625,1.17
BRCA1,vus,VUS,0.10-0.199,6-10,28,1625,1.72
BRCA1,vus,VUS,0.10-0.199,11-20,73,1625,4.49
BRCA1,vus,VUS,0.10-0.199,21-50,147,1625,9.05
BRCA1,vus,VUS,0.10-0.199,51-100,20,1625,1.23
BRCA1,vus,VUS,0.10-0.199,101-250,79,1625,4.86
BRCA1,vus,VUS,0.10-0.199,>250,30,1625,1.85
BRCA1,vus,VUS,0.20-0.499,0,14,1625,0.86
BRCA1,vus,VUS,0.20-0.499,1-2,16,1625,0.98
BRCA1,vus,VUS,0.20-0.499,3-5,21,1625,1.29
BRCA1,vus,VUS,0.20-0.499,6-10,16,1625,0.98
BRCA1,vus,VUS,0.20-0.499,11-20,49,1625,3.02
BRCA1,vus,VUS,0.20-0.499,21-50,38,1625,2.34
BRCA1,vus,VUS,0.20-0.499,51-100,6,1625,0.37
BRCA1,vus,VUS,0.20-0.499,101-250,26,1625,1.60
BRCA1,vus,VUS,0.20-0.499,>250,17,1625,1.05
BRCA1,vus,VUS,0.50-0.799,0,16,1625,0.98
BRCA1,vus,VUS,0.50-0.799,1-2,3,1625,0.18
BRCA1,vus,VUS,0.50-0.799,3-5,1,1625,0.06
BRCA1,vus,VUS,0.50-0.799,6-10,5,1625,0.31
BRCA1,vus,VUS,0.50-0.799,11-20,13,1625,0.80
BRCA1,vus,VUS,0.50-0.799,21-50,11,1625,0.68
BRCA1,vus,VUS,0.50-0.799,51-100,2,1625,0.12
BRCA1,vus,VUS,0.50-0.799,101-250,9,1625,0.55
BRCA1,vus,VUS,0.50-0.799,>250,3,1625,0.18
BRCA1,vus,VUS,0.80-1.00,0,5,1625,0.31
BRCA1,vus,VUS,0.80-1.00,1-2,20,1625,1.23
BRCA1,vus,VUS,0.80-1.00,3-5,2,1625,0.12
BRCA1,vus,VUS,0.80-1.00,6-10,0,1625,0.00
BRCA1,vus,VUS,0.80-1.00,11-20,0,1625,0.00
BRCA1,vus,VUS,0.80-1.00,21-50,3,1625,0.18
BRCA1,vus,VUS,0.80-1.00,51-100,3,1625,0.18
BRCA1,vus,VUS,0.80-1.00,101-250,2,1625,0.12
