spliceai_bin,predicted_class,label,count
0,1,Benign,564
0,2,Likely Benign,28429
0,3,VUS,3075
0,4,Likely Pathogenic,18
0,5,Pathogenic,1461
0-0.099,1,Benign,229
0-0.099,2,Likely Benign,7288
0-0.099,3,VUS,3196
0-0.099,4,Likely Pathogenic,40
0-0.099,5,Pathogenic,581
0.10-0.199,1,Benign,7
0.10-0.199,2,Likely Benign,307
0.10-0.199,3,VUS,1017
0.10-0.199,4,Likely Pathogenic,8
0.10-0.199,5,Pathogenic,122
0.20-0.499,1,Benign,2
0.20-0.499,2,Likely Benign,102
0.20-0.499,3,VUS,616
0.20-0.499,4,Likely Pathogenic,38
0.20-0.499,5,Pathogenic,99
0.50-0.799,2,Likely Benign,14
0.50-0.799,3,VUS,149
0.50-0.799,4,Likely Pathogenic,27
0.50-0.799,5,Pathogenic,25
0.80-1.00,2,Likely Benign,10
0.80-1.00,3,VUS,101
0.80-1.00,4,Likely Pathogenic,10
0.80-1.00,5,Pathogenic,12
