gene,cds_exon,action_group,count,high_priority_count,high_spliceai_count,median_points,top_candidate_evidence
BRCA2,17,background_absence_only,640,0,0,1.0,any independent variant-level evidence; otherwise low priority
BRCA2,24,background_absence_only,483,0,0,1,any independent variant-level evidence; otherwise low priority
BRCA2,21,background_absence_only,391,0,0,1,any independent variant-level evidence; otherwise low priority
BRCA2,15,background_absence_only,352,0,0,1.0,any independent variant-level evidence; otherwise low priority
BRCA2,14,background_absence_only,313,0,0,1,any independent variant-level evidence; otherwise low priority
BRCA2,16,background_absence_only,294,0,0,1.0,any independent variant-level evidence; otherwise low priority
BRCA2,19,background_absence_only,282,0,0,1.0,any independent variant-level evidence; otherwise low priority
BRCA2,18,background_absence_only,275,0,0,1,any independent variant-level evidence; otherwise low priority
BRCA2,22,background_absence_only,255,0,0,1,any independent variant-level evidence; otherwise low priority
BRCA2,23,background_absence_only,232,0,0,1.0,any independent variant-level evidence; otherwise low priority
BRCA2,17,conflicting_computational_splice_context,223,0,0,-1,manual RNA/splicing review and transcript-specific interpretation
BRCA2,20,background_absence_only,220,0,0,1.0,any independent variant-level evidence; otherwise low priority
BRCA1,11,background_absence_only,171,0,0,1,any independent variant-level evidence; otherwise low priority
BRCA2,24,conflicting_computational_splice_context,135,0,0,-1,manual RNA/splicing review and transcript-specific interpretation
BRCA1,9,background_absence_only,129,0,0,1,any independent variant-level evidence; otherwise low priority
BRCA2,25,background_absence_only,125,0,0,1,any independent variant-level evidence; otherwise low priority
BRCA2,26,background_absence_only,116,0,1,1.0,any independent variant-level evidence; otherwise low priority
BRCA2,14,conflicting_computational_splice_context,99,0,0,-1,manual RNA/splicing review and transcript-specific interpretation
BRCA2,16,conflicting_computational_splice_context,98,0,0,-1.0,manual RNA/splicing review and transcript-specific interpretation
BRCA2,2,background_absence_only,98,0,0,1.0,any independent variant-level evidence; otherwise low priority
BRCA2,21,conflicting_computational_splice_context,98,0,0,-1.0,manual RNA/splicing review and transcript-specific interpretation
BRCA2,18,conflicting_computational_splice_context,92,0,0,-1.0,manual RNA/splicing review and transcript-specific interpretation
BRCA2,1,background_absence_only,90,0,0,1.0,any independent variant-level evidence; otherwise low priority
BRCA2,22,computational_signal_needs_noncomputational_support,86,86,86,2.0,"RNA, functional, PS4, PP1, PM3, or curated assertion evidence"
BRCA1,9,computational_signal_needs_noncomputational_support,81,81,81,2,"RNA, functional, PS4, PP1, PM3, or curated assertion evidence"
BRCA2,20,conflicting_computational_splice_context,79,0,0,-1,manual RNA/splicing review and transcript-specific interpretation
BRCA2,15,conflicting_computational_splice_context,77,0,0,-1,manual RNA/splicing review and transcript-specific interpretation
BRCA2,22,conflicting_computational_splice_context,72,0,0,-1.0,manual RNA/splicing review and transcript-specific interpretation
BRCA2,6,background_absence_only,69,0,0,1,any independent variant-level evidence; otherwise low priority
BRCA2,23,conflicting_computational_splice_context,67,0,0,-1,manual RNA/splicing review and transcript-specific interpretation
BRCA2,26,computational_signal_needs_noncomputational_support,67,67,67,2,"RNA, functional, PS4, PP1, PM3, or curated assertion evidence"
BRCA2,19,conflicting_computational_splice_context,66,0,0,-1.0,manual RNA/splicing review and transcript-specific interpretation
BRCA1,16,near_pathogenic_threshold,60,8,2,5.0,"supporting pathogenic evidence such as PP1, PS4, PM3, RNA evidence, or curated clinical assertion"
BRCA1,12,computational_signal_needs_noncomputational_support,55,55,55,2,"RNA, functional, PS4, PP1, PM3, or curated assertion evidence"
BRCA1,8,background_absence_only,55,0,8,1,any independent variant-level evidence; otherwise low priority
BRCA2,17,module1_no_signal,54,0,0,0.0,"ClinVar/ClinGen/ENIGMA assertion context, literature, segregation, functional data"
BRCA2,23,computational_signal_needs_noncomputational_support,54,54,54,2.0,"RNA, functional, PS4, PP1, PM3, or curated assertion evidence"
BRCA2,15,computational_signal_needs_noncomputational_support,46,44,46,2.0,"RNA, functional, PS4, PP1, PM3, or curated assertion evidence"
BRCA1,12,background_absence_only,44,0,0,1.0,any independent variant-level evidence; otherwise low priority
BRCA1,11,conflicting_computational_splice_context,42,0,0,-1.0,manual RNA/splicing review and transcript-specific interpretation
